time,open,high,low,close,Volume,Volume MA,SPY · NYSE Arca: close
1732211100,593.76,594.8,593.51,594.43,3203149,2522160.85,594.43
1732215600,594.41,595.12,593.52,594.85,4685272,2755550.1,594.85
1732220100,594.85,595,593.2,593.26,7392166,3122332.2,593.26
1732224600,593.3,593.6215,593.06,593.16,213428,3122135.4,593.16
1732229100,593.16,593.41,592.71,593.05,108788,2852360,593.05
1732233600,592.97,593.45,592.83,592.97,37746,2594216.35,592.97
1732266000,593.74,593.74,591.06,591.38,41630,2419564.5,591.38
1732270500,591.45,592.5,591.37,592.24,71037,2321930.3,592.24
1732275000,592.18,593.4,591.72,593.11,55827,2158077.55,593.11
1732279500,593.19,594.15,592.72,593.38,329705,1665707.6,593.38
1732284000,593.38,596.131,593.17,594.46,5391225,1917756.5,594.46
1732288500,594.46,595.8965,593.1525,594.59,3285523,2077223.1,594.59
1732293000,594.57,595.88,593.92,595.24,2271694,2187659.3,595.24
1732297500,595.25,596.15,594.9001,595.43,2047027,2288299.15,595.43
1732302000,595.44,595.63,594.15,594.25,2794116,2426747.2,594.25
1732306500,594.255,596.1,593.67,595.65,7818652,2803836.65,595.65
1732311000,595.58,596.29,595.51,596,235532,2790344.55,596
1732315500,596.12,596.75,596,596.45,138235,2473885.75,596.45
1732320000,596.39,596.49,596.35,596.45,27619,2202651.1,596.45
1732525200,598.01,598.64,598.01,598.49,33447,2009090.9,598.49
1732529700,598.5,598.79,598.43,598.69,107117,1854289.3,598.69
1732534200,598.71,598.71,598.03,598.44,257941,1632922.75,598.44
1732538700,598.44,600.045,597.88,599.65,620206,1294324.75,599.65
1732543200,599.63,600.86,597.55,598.045,7771242,1672215.45,598.045
1732547700,598,599.26,597.6,597.99,3998207,1866686.4,597.99
1732552200,597.97,598.38,595.2401,595.5292,3680215,2048809.85,595.5292
1732556700,595.51,597.61,595.2,597.32,2778158,2185636.25,597.32
1732561200,597.31,597.45,596.49,596.835,2328475,2298508.15,596.835
1732565700,596.84,598.39,596.8001,598.3,8566059,2724019.75,598.3
1732570200,598.3,598.37,597.53,598.07,272088,2721138.9,598.07
1732574700,598.02,598.65,595.63,596.31,325624,2467858.85,596.31
1732579200,596.2,596.2399,595.24,595.27,194299,2313297.65,595.27
1732611600,597.13,598.01,596.97,597.62,22803,2200853.1,597.62
1732616100,597.72,598.17,597.2,597.87,16578,2099330.65,597.87
1732620600,597.7,599.22,597.69,599.11,300315,1974640.6,599.11
1732625100,599.01,599.33,596.73,598.8799,252964,1596356.2,598.8799
1732629600,598.95,599.61,598.21,598.7353,4555275,1812343.35,598.7353
1732634100,598.74,599.6,598.07,599.56,3148712,1962867.2,599.56
1732638600,599.565,599.87,599.07,599.8,2160019,2069487.2,599.8
1732643100,599.8151,600.19,599.602,600.149,1565019,2146065.8,600.149
1732647600,600.11,600.44,599.22,600.32,3833342,2332377.05,600.32
1732652100,600.315,601.33,600.16,601.17,13721856,3005572.8,601.17
1732656600,601.18,601.29,600.65,600.9,88136,2978969.3,600.9
1732661100,600.95,601.23,600.651,601.05,45567,2592685.55,601.05
1732665600,601.02,601.14,600.65,601.1,97287,2397639.55,601.1
1732698000,600.11,600.4,599.68,599.76,36600,2215458.8,599.76
1732702500,600.02,600.08,599.59,599.63,12320,2077166.9,599.63
1732707000,599.8,600.45,599.78,600.3,71873,1964336.8,600.3
1732711500,600.32,602.0225,599.8196,600.75,463815,1559224.6,600.75
1732716000,600.75,600.85,599.77,599.825,3359508,1713595.6,599.825
1732720500,599.82,599.98,598.25,598.4599,4560545,1925341.65,598.4599
1732725000,598.43,599.15,597.3,597.99,3146848,2072969.1,597.99
