time,open,high,low,close,Volume,Volume MA,SPY · NYSE Arca: close
-1073122200,13.3,13.55,13.3,13.55,0,0,
-1072517400,13.41,13.78,13.41,13.78,0,0,
-1071912600,13.72,13.8,13.71,13.75,0,0,
-1071307800,13.52,13.91,13.47,13.85,0,0,
-1070703000,13.99,14.31,13.99,14.31,0,0,
-1070098200,14.44,14.44,14.32,14.32,0,0,
-1069493400,14.43,14.72,14.43,14.66,0,0,
-1068888600,14.58,14.87,14.58,14.83,0,0,
-1068283800,14.69,14.69,14.35,14.6,0,0,
-1067679000,14.77,15.1,14.77,15.1,0,0,
-1067074200,14.51,14.88,14.24,14.24,0,0,
-1066469400,14.57,15.06,14.57,15.04,0,0,
-1065864600,15.05,15.1,14.82,14.82,0,0,
-1065259800,14.81,15.34,14.81,15.27,0,0,
-1064655000,15.51,15.51,15.39,15.39,0,0,
-1064050200,15.42,15.42,15.1,15.1,0,0,
-1063445400,14.62,14.85,14.4,14.44,0,0,
-1062844200,13.96,13.96,13.53,13.87,0,0,
-1062239400,13.82,14.18,13.82,13.9,0,0,
-1061634600,13.86,14.29,13.86,14.29,0,0,
-1061029800,14.19,14.19,13.85,14.09,0,0,
-1060425000,14.25,14.45,14.25,14.4,0,0,
-1059820200,14.39,14.39,14.12,14.12,0,0,
-1059215400,14.34,14.76,14.34,14.59,0,0,
-1058610600,14.74,14.92,14.74,14.83,0,0,
-1058005800,15.07,15.16,14.95,14.95,0,0,
-1057401000,14.89,15.02,14.84,15.02,0,0,
-1056796200,14.94,15.35,14.81,15.35,0,0,
-1056191400,15.45,15.66,15.45,15.66,0,0,
-1055586600,15.83,15.93,15.83,15.83,0,0,
-1054981800,16.15,16.15,15.85,15.85,0,0,
-1054377000,15.91,16.08,15.77,16.08,0,0,
-1053772200,16.200001,16.200001,15.87,15.87,0,0,
-1053167400,15.8,15.9,15.32,15.32,0,0,
-1052562600,15.65,15.92,15.55,15.92,0,0,
-1051957800,15.99,16.02,15.95,16.02,0,0,
-1051353000,16.290001,16.290001,16.110001,16.110001,0,0,
-1050748200,15.96,16.030001,15,16.030001,0,0,
-1050143400,16.16,16.219999,15.88,15.88,0,0,
-1049535000,16.129999,16.35,16.01,16.35,0,0,
-1048930200,16.530001,16.870001,16.530001,16.870001,0,0,
-1048325400,16.959999,17.040001,16.85,17.040001,0,0,
-1047720600,17.129999,17.18,17.040001,17.09,0,0,
-1047115800,16.65,17.23,16.65,17.23,0,0,
-1046511000,17.17,17.559999,17.17,17.43,0,0,
-1045906200,17.690001,17.690001,17.24,17.24,0,0,
-1045301400,17.4,17.639999,17.129999,17.129999,0,0,
-1044696600,16.889999,17.34,16.889999,17.34,0,0,
-1044091800,17.280001,17.280001,16.950001,17.01,0,0,
-1043487000,16.91,17.219999,16.91,17.139999,0,0,
-1042882200,17.32,17.32,17,17,0,0,
-1042277400,16.65,17.059999,16.65,17.059999,0,0,
-1041672600,16.940001,17.27,16.940001,17.18,0,0,
-1041067800,16.93,17.48,16.93,17.48,0,0,
-1040463000,17.57,17.74,17.57,17.74,0,0,
-1039858200,17.74,17.959999,17.620001,17.870001,0,0,
-1039253400,17.77,17.77,17.51,17.77,0,0,
-1038648600,17.879999,18.15,17.860001,17.860001,0,0,
-1038043800,18.07,18.32,17.99,18.32,0,0,
-1037439000,18.1,18.370001,18.1,18.370001,0,0,
-1036834200,17.969999,18.07,17.969999,18.059999,0,0,
-1036229400,18.09,18.620001,18.09,18.620001,0,0,
-1035624600,18.559999,18.67,18.360001,18.360001,0,0,
-1035019800,18.139999,18.23,17.719999,17.719999,0,0,
-1034415000,17.219999,17.700001,17.219999,17.68,0,0,
-1033810200,17.629999,17.950001,17.49,17.49,0,0,
-1033205400,17.620001,17.620001,16.91,17.030001,0,0,
-1032600600,17.1,17.299999,17.1,17.16,0,0,
-1031995800,17.129999,17.41,16.85,16.85,0,0,
-1031394600,16.16,16.43,15.99,16.43,0,0,
-1030789800,16.469999,16.73,16.469999,16.65,0,0,
-1030185000,16.280001,16.290001,15.65,15.81,0,0,
-1029580200,15.62,16.27,15.62,16.27,0,0,
-1028975400,16.459999,16.459999,16.23,16.26,0,0,
-1028370600,15.96,16.280001,15.96,16.280001,0,0,
-1027765800,16.129999,16.18,15.73,15.73,0,0,
-1027161000,15.2,15.51,15.18,15.51,0,0,
-1026556200,15.35,15.62,15.35,15.52,0,0,
-1025951400,15.12,15.7,15.12,15.7,0,0,
-1025346600,16.25,16.4,16.25,16.32,0,0,
-1024741800,16.540001,16.540001,16.379999,16.42,0,0,
-1024137000,16.74,16.940001,16.74,16.940001,0,0,
-1023532200,17.059999,17.059999,16.719999,16.77,0,0,
-1022927400,17.07,17.07,16.85,16.85,0,0,
-1022322600,17.07,17.27,17.01,17.27,0,0,
-1021717800,17.17,17.17,16.49,16.49,0,0,
-1021113000,16.459999,16.59,15.88,15.88,0,0,
-1020508200,16.120001,16.120001,15.36,15.46,0,0,
-1019903400,14.69,14.98,14.19,14.19,0,0,
-1019298600,14.23,14.89,14.23,14.57,0,0,
-1018693800,13.94,14.14,13.2,13.2,0,0,
-1018085400,13.63,13.79,13.63,13.72,0,0,
-1017480600,13.59,13.59,12.75,12.75,0,0,
-1016875800,12.22,12.22,11.84,11.84,0,0,
-1016271000,10.76,12.17,10.76,11.84,0,0,
-1015666200,12,12.35,11.74,12.35,0,0,
-1015061400,12.08,12.08,11.46,11.46,0,0,
-1014456600,11.12,11.96,11.12,11.91,0,0,
-1013851800,11.53,11.53,10.51,10.51,0,0,
-1013247000,10.25,10.67,10.17,10.67,0,0,
-1012642200,10.96,11.34,10.96,11.34,0,0,
-1012037400,11.13,11.42,11.1,11.1,0,0,
-1011432600,10.74,11.08,10.74,11,0,0,
-1010827800,11.31,11.38,11.06,11.06,0,0,
-1010223000,10.69,10.69,10.31,10.55,0,0,
-1009618200,10.52,11.74,10.52,11.32,0,0,
-1009013400,11.87,11.95,11.67,11.7,0,0,
-1008408600,11.67,11.67,11.44,11.44,0,0,
-1007803800,11.4,11.4,10.55,10.55,0,0,
-1007199000,10.69,10.89,10.34,10.54,0,0,
-1006594200,10.56,10.98,10.56,10.93,0,0,
-1005989400,11.02,11.15,10.87,11.02,0,0,
-1005384600,11.38,11.68,11.38,11.57,0,0,
-1004779800,11.34,11.46,11.13,11.13,0,0,
-1004175000,10.88,10.89,10.58,10.58,0,0,
-1003570200,10.78,11.11,10.19,10.19,0,0,
-1002965400,10.38,10.38,9.35,9.35,0,0,
-1002360600,9.27,9.27,8.5,8.91,0,0,
-1001755800,9.24,9.62,9.2,9.62,0,0,
-1001151000,9.95,10.2,9.95,10.2,0,0,
-1000546200,10.41,10.45,10.06,10.45,0,0,
-999945000,10.21,10.21,9.77,9.78,0,0,
-999340200,9.59,10.43,9.59,10.43,0,0,
-998735400,10.63,10.63,10.26,10.26,0,0,
-998130600,10.08,10.14,9.96,9.96,0,0,
-997525800,9.89,9.89,9.28,9.28,0,0,
-996921000,9.27,9.57,9.27,9.42,0,0,
