time,open,high,low,close,Volume,Volume MA,SPY · NYSE Arca: close
1477056600,2139.43,2142.63,2130.09,2140.67,22499,11888.35,213.07
1477079100,2140.65,2142.13,2140.51,2141.16,1500,11906.25,213.88
1477315800,2148.5,2154.79,2146.91,2150.29,22499,11906.25,214.8662
1477338300,2150.28,2152.41,2150.28,2151.33,1500,11926.9,214.88
1477402200,2149.72,2151.44,2141.93,2143.28,22499,11926.9,214.84
1477424700,2143.27,2143.78,2142.46,2143.16,1500,11944.85,214.15
1477488600,2136.97,2145.73,2131.59,2140.55,22499,11944.85,213.24
1477511100,2140.55,2141.22,2139.06,2139.43,1500,11963.1,213.77
1477575000,2144.06,2147.13,2132.83,2133.83,22499,11963.1,213.58
1477597500,2133.84,2134.12,2132.52,2133.04,1500,11981.65,212.97
1477661400,2132.23,2140.72,2119.36,2126.54,22499,11981.65,213.025
1477683900,2126.71,2128.02,2125.42,2126.41,1500,11999.5,212.78
1477920600,2129.78,2133.25,2125.53,2127.72,22499,11999.5,212.74
1477943100,2127.73,2128.46,2125.77,2126.15,1500,11999.5,212.73
1478007000,2128.68,2131.45,2097.85,2109.35,22499,11999.5,212.18
1478029500,2109.36,2113.12,2109.36,2111.72,1499,11999.45,210.8
1478093400,2109.43,2111.76,2094,2102.59,22499,11999.45,210.83
1478115900,2102.57,2103.09,2097.51,2097.94,1500,11999.45,209.81
1478179800,2098.8,2102.56,2085.3,2085.39,22499,11999.45,209.99
1478202300,2085.38,2089.33,2085.23,2088.66,1500,11999.45,208.8
1478266200,2083.79,2099.07,2083.79,2087.84,22499,11999.45,208.885
1478288700,2087.87,2087.87,2084.59,2085.18,1500,11999.45,208.44
1478529000,2100.59,2129.49,2100.59,2126.18,22499,11999.45,211.785
1478551500,2126.17,2132,2126.17,2131.52,1500,11999.45,213.35
1478615400,2129.92,2146.87,2123.56,2143.17,22499,11999.45,212.53
1478637900,2143.31,2144.69,2138.06,2139.53,1500,11999.45,213.97
1478701800,2131.56,2170.1,2125.35,2164.35,22499,11999.45,213.63
1478724300,2164.39,2164.39,2160.16,2163.26,1500,11999.45,216.59
1478788200,2167.49,2182.3,2151.17,2167.9,22499,11999.45,216.61
1478810700,2167.87,2169.17,2166.05,2167.48,1500,11999.45,217.09
1478874600,2162.71,2164.95,2152.49,2162.1,22499,11999.45,216.47
1478897100,2162.09,2165.92,2162.09,2164.45,1500,11999.45,216.64
1479133800,2165.64,2171.36,2156.08,2163.04,22499,11999.45,217.065
