time,open,high,low,close,Volume,Volume MA,SPY · NYSE Arca: close
1761062400,155.1,155.265,155.035,155.22,301755,225229.8,672.46
1761063300,155.235,155.26,155.085,155.2,266558,238462.2,672.63
1761064200,155.21,155.28,155.16,155.185,259527,251429.9,672.62
1761065100,155.2,155.305,154.91,154.96,370084,269896.1,671.49
1761066000,154.96,155.18,154.855,155.175,230380,281243.15,672.085
1761066900,155.17,155.17,154.83,154.895,313970,296911.65,671.61
1761067800,154.9,154.995,154.82,154.89,180858,305814.9,671.685
1761068700,154.89,155.095,154.89,155.085,161793,313814.55,672.205
1761069600,155.08,155.205,155.07,155.13,172534,321864.9,672.3001
1761070500,155.12,155.2202,155.01,155.18,151148,329205.3,672.28
1761071400,155.175,155.235,155.04,155.05,140535,313113.55,671.83
1761072300,155.05,155.105,154.985,155.02,148642,299492.7,671.95
1761073200,155.02,155.02,154.88,155.005,231673,281535.25,672.01
1761074100,155,155.09,154.9407,154.955,223524,281435.95,671.905
1761075000,154.955,155.035,154.925,155.035,321156,274629.5,671.97
1761075900,155.035,155.14,154.855,154.86,892434,299470.1,671.27
1761076800,154.88,154.88,154.88,154.88,125160,281396.65,670.84
1761078600,155.08,155.08,155.08,155.08,152,265736.5,671.24
1761079500,154.99,154.99,154.99,154.99,4900,242262.3,671.24
1761080400,154.98,154.98,154.98,154.98,100,224844.15,670.9
1761081300,154.77,154.81,154.77,154.81,408,209776.8,671
1761086700,154.9675,154.9675,154.9675,154.9675,929,196495.35,671.48
1761130800,154.88,154.88,154.88,154.88,100,183524,671.23
1761131700,154.86,154.87,154.86,154.87,400,165039.8,671.13
1761138900,154.84,155.26,154.84,155.26,1028,153572.2,671.95
1761139800,155.22,155.46,154.89,155.06,398765,157811.95,671.7848
1761140700,155.05,155.06,154.475,154.695,378010,167669.55,671.27
1761141600,154.69,154.69,154.375,154.42,415223,180341.05,670.75
1761142500,154.43,154.62,153.97,153.99,397192,191573.95,669.43
1761143400,154,154.08,153.43,153.44,394971,203765.1,668.56
1761144300,153.45,153.74,153.39,153.72,502420,221859.35,670.07
1761145200,153.73,153.815,153.305,153.315,469535,237904,669.5699
1761146100,153.32,153.35,152.915,153.13,413151,246977.9,667.85
1761147000,153.125,153.76,153.09,153.73,330644,252333.9,668.59
1761147900,153.73,153.8,153.5,153.505,261180,249335.1,669.01
1761148800,153.51,153.54,153.175,153.31,245310,216978.9,668.255
1761149700,153.31,153.42,153.135,153.255,165147,218978.25,667.62
1761150600,153.24,153.52,152.41,153.4,890871,263514.2,667.19
1761151500,153.4,153.65,153.153,153.49,284162,277477.3,667.35
1761152400,153.47,153.5,153.095,153.1,306460,292795.3,666.12
1761153300,153.11,153.19,152.815,152.97,263435,305946.65,665.42
1761154200,152.96,153.1,152.415,152.45,283342,320067.3,663.62
