time,open,high,low,close,Volume,Volume MA,SPY · NYSE Arca: close
1201098600,33.75,35.85001,33.75,35.75,11973262,7945214.85,133.86
1201185000,36.10001,36.17,35.64,35.96001,7188422,8260077.15,134.99001
1201271400,36.50999,36.50999,35.75,35.8,16851968,8991708,133.03999
1201530600,36.02,36.44,35.7226,36.33,11629703,9448647.2,135.24001
1201617000,36.75,36.75,36.41,36.64999,5273953,9635275.8,135.91
1201703400,36.75999,37.5,36.46001,36.8,6795141,9856121.7,134.91
1201789800,36.3,37.49001,36.14,37,9120918,9923096.1,137.37
1201876200,37.35001,37.85001,37.24001,37.85001,8863281,10099525.6,139.58
1202135400,37.99001,37.99001,37.44,37.44,7162840,9832654.7,137.82001
1202221800,36.57001,37.0692,36.42999,36.49001,8321547,9821593.2,134.13
1202308200,36.71001,36.92,36.25,36.42999,5560336,9572222.7,133.05
1202394600,36.23,36.60001,36.06,36.44,7200426,9336390.1,133.92999
1202481000,36.3,36.53,35.95,36.17,7242699,8979504.55,133.07001
1202740200,36.03999,36.62,35.94,36.53,5167363,8795526,133.75
1202826600,36.82001,37.14999,36.55,36.89999,10939953,9121534.8,134.99001
1202913000,36.91,37.56,36.62,37.56,5794629,8741463.1,136.37
1202999400,37.69,37.7,36.82001,37,6746168,8649369.15,135.17
1203085800,36.62,36.92999,36.5428,36.77,6852477,8348538.1,135.14
1203431400,37.02,37.27,36.64999,36.95,5918609,8237319.9,135.52
1203517800,36.83,37.14,36.39999,37.07001,4769559,7968662.7,135.92
1203604200,37.42999,37.45,36.50999,36.78,6812980,7710648.6,134.78999
1203690600,36.78,37.14999,36.19,37.14999,6112488,7656851.9,135.62
1203949800,37.28,37.49001,36.692,37.44,5766875,7102597.25,137.33
1204036200,37.25,37.78,37.14999,37.47,6428664,6842545.3,138.36
1204122600,37.05,37.82001,37.05,37.53999,2573852,6707540.25,138.22
1204209000,37.41,37.45,37.03,37.27,3924293,6563997.85,136.87
1204295400,36.98,36.99001,36.25,36.25,6461641,6431034,133.82001
1204554600,36,36.78,35.99001,36.78,3710161,6173378,133.5
1204641000,36.24001,36.56,35.97,36.35001,4853422,6057907.1,132.99001
1204727400,36.38,37.03,36.38,36.83,4740809,5878870.2,133.83
1204813800,36.87,36.87,36.13,36.13,5262367,5863971.75,131.06
1204900200,36.00999,36.28,35.39,35.61,7012840,5854592.45,129.71001
1205155800,35.57001,35.71001,34.89,35.03999,5627941,5773854.55,128
1205242200,35.61,36.23,35.28999,36.23,9575082,5994240.5,132.60001
1205328600,36.12,36.67999,36.12,36.16,7534605,5823973.1,131.36
1205415000,35.42,36.66,35.42,36.66,7434754,5905979.35,131.64999
1205501400,37,37.00999,35.49001,36.08,14902828,6313812.35,129.61
1205760600,35.13,36.24001,35.13,35.89999,9241051,6433241.05,128.3
1205847000,36.55,37.78999,36.37,37.78999,9586414,6616631.3,133.63
1205933400,37.17,37.57001,36.32001,36.41,5599211,6658113.9,130.32001
1206019800,36.3,36.85001,36.02,36.63,3951604,6515045.1,132.08
1206365400,37.03999,37.46001,36.81,37.46001,6765176,6547679.5,134.72
1206451800,37.39,37.77,37.09,37.69,6335688,6576120.15,134.85001
1206538200,37.37,37.49001,37.1499,37.39,3638182,6436596.05,133.2
1206624600,37.62,37.62,36.92,36.98,7984422,6707124.55,132.78
1206711000,37.28,37.32001,36.81,36.84,3255600,6673689.9,131.50999
1206970200,37,37.39999,36.77,37.39999,4198859,6560550.8,131.97
1207056600,37.67999,38.39,37.45,38.25,14300973,7090091.4,136.61
1207143000,38.23,38.53,38.08,38.42,5795234,7137182,136.7
1207229400,37.94,38.28999,37.94,38.25,4375762,7118929.65,137.03999
1207315800,38.25999,38.64,38.02,38.39999,5044980,7108060.3,136.89
1207575000,38.67,38.73,38.14,38.16,6896598,7102248.2,136.96001
1207661400,37.98,38.14,37.82001,38.13,4186699,7030186.1,136.82001
1207747800,37.84,38.12,37.49001,37.75999,5800574,6841460.7,135.83
1207834200,37.74001,38.035,37.45,37.92,2775035,6603482.2,136.02
1207920600,36.86,36.99001,36.33,36.42999,6944484,6578968.7,133.38
1208179800,36.59,36.62,36.38,36.45,3620566,6014855.6,132.92999
1208266200,36.67999,36.7,36.22,36.62,4748176,5790211.85,133.24001
1208352600,36.86,37.64,36.86,37.64,7933016,5707541.95,136.85001
1208439000,37.39,37.46001,37.09,37.2,5176504,5686406.6,137.05
1208525400,37.92999,38.38,37.84,38.32001,7603473,5869000.05,138.48
1208784600,38.05,38.19,37.88,38.19,7976254,5929553.95,138.55
1208871000,37.95,37.97,37.44,37.58,3361759,5780857.5,137.94
1208957400,37.75999,38,37.48,37.60001,4164180,5807157.4,137.72
1209043800,37.84,38.28999,37.45,37.84,4105340,5613203.3,138.32001
1209130200,38.32001,38.48,37.85001,38.37,2686444,5584745.5,139.60001
1209389400,38.49001,38.59,38.255,38.59,11001574,5924881.25,139.63
1209475800,38.44,38.49001,38.14999,38.23,5395930,5479629.1,139.08
1209562200,38.39,38.78,38.13,38.5,7494031,5564568.95,138.25999
1209648600,38.27,38.88,38.14,38.75,10938961,5892728.9,141.12
1209735000,39.07001,39.24001,38.61,38.89999,8936500,6087304.9,141.50999
1209994200,38.94,38.98,38.53,38.8,3242889,5904619.45,140.83
1210080600,38.57001,39.08,38.42,38.95,3398358,5865202.4,142.05
1210167000,39.03,39.06,38.27,38.35001,5739297,5862138.55,139.52
1210253400,38.42999,38.71001,38.3,38.48,6928141,6069793.85,139.16
1210339800,38.16,38.36,38.11,38.24001,4176332,5931386.25,138.89999
1210599000,38.44,38.85001,38.14999,38.85001,3550137,5927864.8,140.46001
1210685400,38.50999,39.17,38.50999,39.11,3191548,5850033.4,140.48
1210771800,39.10001,39.5,39.10001,39.14999,2979456,5602355.4,140.77
1210858200,39.14999,39.39,39.00999,39.38,3619098,5524485.1,142.53
1210944600,39.46001,39.46001,39.03,39.28,2605624,5274592.65,142.66
1211203800,39.35001,39.97,39.19,39.72,6566852,5204122.55,143.05
1211290200,39.36,39.36,38.89,39.09,4368371,5254453.15,141.89
1211376600,39.03999,39.25,38.3,38.42999,8489074,5470697.85,139.49001
1211463000,38.42999,38.55,38.2,38.34,6620574,5596459.55,139.50999
1211549400,38.21001,38.21001,37.64999,37.78999,4037365,5664005.6,137.64
1211895000,37.78,38.19,37.66,38.19,3903514,5309102.6,138.66
1211981400,38.39999,38.49001,38.09,38.45,5650965,5321854.35,139.3
1212067800,38.53999,38.92,38.13,38.60001,7581297,5326217.65,140
1212154200,38.77,39.02,38.57001,38.84,4003194,4979429.3,140.35001
1212413400,38.67,38.94,38.25,38.50999,5004227,4782815.65,138.89999
1212499800,38.53999,38.67999,37.89999,38.38,5398262,4890584.3,138.09
1212586200,38.03,38.39,37.94,38.23,4411559,4941244.35,138.02
1212672600,38.25,38.595,38.03999,38.50999,6498363,4979197.65,140.78
1212759000,38.14999,38.28999,37.00999,37.00999,11162152,5190898.2,136.28999
1213018200,37.28999,37.49001,37.09,37.39,7946766,5379419.9,136.62
1213104600,37.02,37.59,37.02,37.17,4217902,5412808.15,135.94
1213191000,37.14999,37.14999,36.39999,36.47,6568133,5581637.4,133.94
1213277400,36.64,37.33,36.42999,36.60001,7316871,5798508.15,134.45
1213363800,36.75999,37.16,36.71001,37.02,8574410,6046273.75,136.14999
1213623000,37.10001,37.25999,36.69501,36.82001,5625961,6197290.6,136.23
1213709400,37.13,37.14999,36.55,36.74001,3678305,6052863.25,135.57001
1213795800,36.32001,36.57001,36.17,36.21001,6784281,6173658.75,134.25
1213882200,36.23,36.825,36.16499,36.67999,6266301,6062520.1,134.42
1213968600,36.14999,36.39999,35.81,35.89999,5842281,6023605.45,131.58
1214227800,36.17,36.2,35.869,35.97,3460208,5994747.6,131.45
1214314200,35.67999,35.88,35.38499,35.53999,6387453,6118944.55,131.19
1214400600,35.59,35.59,35,35.28,8762387,6274515.65,131.81
1214487000,34.95,34.95,33.8,34.7,10217617,6406331.65,128.23
1214573400,34.08,34.08,33.50999,33.7,9277156,6670029.75,127.53
1214832600,33.64999,34.22,33.59,34.00999,5948008,6717218.8,127.98
1214919000,33.5,34.161,33.3701,33.99001,12149027,7054757.05,128.38
1215005400,34.13,34.17,32.89999,32.95,12311688,7449763.5,126.17999
1215091800,33.35001,33.53,32.95,33.41,5800543,7414872.5,126.31
1215437400,33.49001,33.82001,33,33.37,7051473,7209338.55,125.02
1215523800,33.25,34.14,33.25,34.14,12327504,7428375.45,127.24001
1215610200,34.13,34.28,33.16,33.19,9153297,7675145.2,124.78999
1215696600,33.5,33.78999,33.17999,33.7,9592215,7826349.3,125.3
1215783000,33.42,33.78999,32.95,33.09,9542402,7937625.85,123.84
1216042200,33.45,33.89,32.89,33.24001,7401547,7878982.7,122.72
1216128600,33.09,33.14,32,32.58,9592352,8077302.25,120.99001
1216215000,32.75,33.59,32.34,33.33,9211184,8353946.2,123.96001
1216301400,33.83,34.25,33.4599,34.25,10626281,8546046.2,125.2
1216387800,34.14999,34.3,33.8,34.3,7400555,8602758.9,125.98
1216647000,34.24001,34.33,33.83,34.33,7538176,8687553.65,126.05
1216733400,34.08,34.78999,34.08,34.75,6980602,8863573.35,127.48
1216819800,35,35.21001,34.62,35.02,8744309,8981416.15,128.17
1216906200,35.3,35.35001,34.13,34.14999,9031898,8994891.7,125.50999
1216992600,34.64,34.64,34.25,34.47,8324035,8900212.6,125.48
1217251800,34.60001,34.60001,33.57001,33.67999,7177086,8795209.1,123.64
1217338200,33.88,34.95,33.87,34.95,6799363,8837776.85,126.28
1217424600,34.95,35.48,34.84,35.36,9428066,8701728.8,128.53
1217511000,35.12,35.25,34.27,34.28,17874272,8979858,126.83
1217597400,34.60001,34.7,34.05,34.25,7999980,9089829.85,126.16
1217856600,34.17999,34.32001,33.87,34.10001,7557008,9115106.6,124.99001
1217943000,34.42,35.09,34.42,35.05,9724871,8984974.95,128.36
1218029400,35.05,35.72,34.69,35.72,6914934,8873056.8,128.92999
1218115800,34.82001,35.10001,34.52,34.52,10655750,8926233.55,127.00999
1218202200,34.66,35.89,34.53,35.71001,11684734,9033350.15,129.37
1218461400,35.82001,36.11,35.5,35.8,12795797,9303062.65,130.71001
1218547800,35.78999,35.8,35.28999,35.45,7227512,9184820.65,129.35001
1218634200,35.28,35.39,34.72,35.32001,11051953,9276859.1,128.57001
1218720600,35.07001,35.73,34.89,35.45,9603871,9225738.6,129.53999
1218807000,35.59,35.86,35.42999,35.64999,6119145,9161668.1,130.17
1219066200,35.77,35.8,35,35.25,6234758,9096497.2,128.39
1219152600,35.21001,35.21001,34.50999,34.81,6894238,9092179,126.99001
1219239000,34.67,34.85001,34.21001,34.53,9990441,9154485.6,127.58
1219325400,34.31,34.77,34.2,34.61,8100484,9107914.9,127.8
1219411800,34.86,35.28999,34.73,35.28999,6478586,9015642.45,129.64999
1219671000,35.10001,35.10001,34.41,34.74001,5858262,8949701.25,127.02
1219757400,34.53999,34.74001,34.28999,34.73,7859211,9002693.65,127.39
1219843800,34.42999,34.99229,34.42999,34.83,5629555,8812768.1,128.63
1219930200,34.91,35.77,34.91,35.61,8420996,8340104.3,130.19
1220016600,35.57001,35.75,35.19,35.22,3775650,8128887.8,128.78999
1220362200,35.75999,36.16,35,35.23,10442566,8273165.7,127.99001
1220448600,35.22,35.31,34.702,34.97,9964691,8285156.7,127.88
1220535000,34.64999,34.66,33.52,33.77,11476887,8513254.35,124.03
1220621400,33.42,33.78999,33.14,33.75999,12674766,8614205.15,124.42
1220880600,34.41,34.82001,33.94,34.3,15607117,8810324.3,126.99001
1220967000,34.09,34.57001,33.25999,33.28999,11434867,8742277.8,123.22
1221053400,33.45,33.86,33.2,33.42999,9732238,8867514.1,123.72
1221139800,33.14,34.2,33.03999,34.2,8516234,8740728.15,125.50999
1221226200,33.86,34.17,33.57001,34.11,10793258,8800197.5,126.09
1221485400,32.64,33.67,32.64,32.74001,16085512,9298515.85,120.09
1221571800,31.99001,33.2,31.92,32.84,18499824,9911769.15,122.10001
1221658200,32.36,32.37,31.42999,31.73,15598473,10346980.9,116.61
1221744600,31.64999,32.85001,30.56,32.38,30949520,11394934.85,120.07001
1221831000,35,35,33.10001,33.11,15910059,11785413.6,124.12
1222090200,33,33.38,32.2,32.23,5309395,11726954.05,121.31
1222176600,32.44,32.59,31.5,31.52,12016063,12034844.1,118.55
1222263000,31.85001,31.88,30.97,31.45,8931086,12088437.85,118.92999
1222349400,31.37,31.92999,31,31.7,11687813,12391350.75,120.78999
1222435800,31.03,31.61,30.64,31.57001,14530961,12696849,120.85001
1222695000,31.03999,31.34,29.28999,30.5,16947344,13355433.7,111.38
1222781400,30,30.8,29.755,30.8,10050242,13335817.5,115.99001
1222867800,30.31,30.31,29.38,30.07001,21014512,13888308.55,116.06
1222954200,29.63,29.63,27.81,28.27,14679254,14048426.9,111.85001
1223040600,28.5,28.92999,27.58,27.82001,18081808,14318779,110.34
1223299800,26.87,27.21001,25.57001,27.09,20767296,14576787.95,104.72
1223386200,27.57001,27.78,25.82001,26.19,15985129,14804301.05,100.03
1223472600,25.03,26.75,25.03,25.78999,19231952,15279286.75,97.50999
1223559000,26.42,26.42,24,24.32001,15437438,15625346.95,90.7
1223645400,22.91,24.92,22.2,23.53999,23376032,16254485.65,88.5
1223904600,25.1925,26.46001,24.60001,26.06,7824109,15841415.5,101.35001
1223991000,27.8,27.8,25.06,26.05,17373728,15785110.7,99.85001
1224077400,25.44,25.44,23.41,23.60001,15899254,15800149.75,90.02
1224163800,23.44,24.58,22.46001,24.08,20528144,15279080.95,93.77
1224250200,23.24001,25.17999,23.24001,23.56,12076066,15087381.3,93.21001
1224509400,24.39999,24.92,23.97,24.73,13286875,15486255.3,98.81
1224595800,24.73,25.10001,24.17999,24.50999,11165473,15443725.8,95.86
1224682200,23.61,23.85001,22.33,23.38,20321408,16013241.9,90.64
1224768600,23.24001,23.60001,21.92,23.44,19569312,16407316.85,91.69
1224855000,21.64999,22.72,21.56,22.09,17650160,16563276.8,87.03999
1225114200,21.8,22.75999,21.24001,21.24001,11494184,16290618.8,83.95
1225200600,22.16,23.73,21.39,23.42,12324086,16404311,93.75999
1225287000,23.84,24.92,23.47,23.52,15938332,16150502,93.08
1225373400,24.2,24.83,23.85001,24.37,14639219,16148500.25,96.3
1225459800,24.53,25.3,24.09,25.17999,12745816,15881700.65,96.83
1225722600,25.09,25.19,24.62,24.75,8841336,15285402.65,97.11
1225809000,25.52,26.36,25.25,25.83,15205430,15246417.7,100.41
1225895400,26.14,26.17999,24.69,24.75,15585535,15064096.85,96.19
1225981800,24.5,24.92999,23.14999,23.59,13678625,14976156.2,90.86
1226068200,23.94,24.0623,23.28,23.83,11548094,14384759.3,93.86
1226327400,24.55,24.61,23.52,23.84,9504031,14468755.4,92.63
1226413800,23.44,23.75,22.83,23.31,15414570,14370797.5,89.77
1226500200,22.92,22.92,21.96001,22.2,11420742,14146871.9,85.82001
1226586600,22.42999,23.47,20.89999,23.39,24198496,14330389.5,91.17
1226673000,23.17999,23.56,22.19,22.39999,17514256,14602299,86.62
1226932200,21.89999,22.62,21.64,21.95,17218816,14798896.05,85.47
