time,open,high,low,close,Volume,Volume MA,SPY · NYSE Arca: close
914250600,23.21899,24.01562,23.21899,24,2900,,122.6875
914855400,24,24.5625,24,24.5625,44700,,123.3125
915460200,24.59375,25.32812,24.21875,25.21875,46000,,127.75
916065000,25.15625,25.15625,23.95312,24.35937,19400,,124.375
916669800,24.57812,24.57812,23.53125,23.53125,23000,,122.5625
917274600,23.64062,24.40625,23.60937,24.29687,116200,,127.65625
917879400,24.5,24.5,23.85937,24.32812,53600,,124.0625
918484200,24.5,24.5,24.04687,24.35937,18500,,123.625
919089000,24.51562,24.75,24.26562,24.64062,16300,,124.25
919693800,24.65625,25.17187,24.28125,24.51562,23700,,123.5625
920298600,24.46875,25.17187,24.10937,25.17187,85300,,127.54687
920903400,25.26562,25.70312,25.1875,25.5,10300,,129.375
921508200,25.48437,25.57812,25.10937,25.34375,21600,,129.6875
922113000,25.23437,25.57812,24.4375,24.82812,29200,,128.5625
922717800,25.125,25.25,24.9375,25.20312,31700,,129.34375
923319000,25.39062,25.84375,25.375,25.8125,60800,,134.875
923923800,25.8125,28.1875,25.78125,28.07812,273100,,131.53125
924528600,28.39062,29.3125,27.84375,28.45312,619200,,135.8125
925133400,28.54687,29.21875,28.39062,28.6875,401500,,133.25
925738200,28.57812,30,28.57812,30,657900,127745,135
926343000,29.75,30.14062,29.03125,29.125,226000,138900,133.78125
926947800,29.07812,29.39062,28.34375,28.85937,216400,147485,133.34375
927552600,28.92187,29.20312,27.65625,28.125,831400,186755,130.20312
928157400,28.125,29.10937,27.89062,29.10937,57100,188640,133.21875
928762200,29.35937,29.42187,28.67187,28.76562,92700,192125,129.8125
929367000,29,30.03125,29,30.03125,214000,197015,134.3125
929971800,30,30,28.98437,29.09375,103700,199520,131.70312
930576600,29.26562,30.01562,29.14062,29.96875,59300,201560,139.40625
931181400,29.78125,30.15625,29.54687,29.92187,138200,207655,140.5
931786200,29.95312,30.0625,29.40625,29.95312,136600,213300,141.8125
932391000,30.1875,30.625,29.625,29.65625,153200,216695,135.75
932995800,29.53125,29.82812,28.71875,28.71875,57900,219075,132.75
933600600,28.90625,29.03125,28.29687,28.48437,71200,221555,130.375
934205400,28.48437,29.04687,28.07812,29.01562,120400,226115,133.15625
934810200,29.07812,29.53125,28.6875,29.17187,53800,227220,133.90625
935415000,29.5,30.23437,29.5,29.64062,103500,229355,135.0625
936019800,29.51562,29.51562,28.67187,29.48437,38500,217625,135.96875
936624600,29.48437,30.04687,29.48437,29.60937,43500,188840,135.875
937229400,29.35937,29.4375,28.76562,29.32812,50900,171310,133.75
937834200,29.3125,29.39062,27.90625,28.04687,169200,146875,127.75
938439000,28.125,28.75,27.71875,28.35937,324600,151805,128.46875
939043800,28.54687,29.51562,28.54687,29.39062,165500,149260,133.875
939648600,29.25,29.48437,27.14062,27.34375,68100,111095,124.875
940253400,27.14062,27.65625,26.48437,27.48437,691900,142835,130.09375
940858200,27.39062,28.35937,27.0625,28.125,88100,142605,137
941466600,28.01562,28.03125,27.35937,27.625,143600,139085,137.875
942071400,27.48437,27.90625,27.45312,27.875,79600,137880,139.75
942676200,28,29.0625,28,28.625,76000,138715,142.49609
943281000,28.20312,28.5,28.0625,28.09375,71000,135355,141.375
943885800,27.60937,28.34375,27.48437,28.10937,530100,155030,143.84375
944490600,28.03125,28.07812,27.14062,27.73437,285600,161650,141.875
945095400,27.71875,28.53125,27.59375,28.53125,856300,201570,142.6875
945700200,28.3125,28.45312,27.48437,28.3125,1642800,280150,146.48437
946305000,28.875,29.60937,28.42187,29.60937,1125900,330425,146.875
946909800,29.48437,29.48437,27.71875,29.375,445800,350025,145.75
947514600,29.53125,29.625,28.65625,29,467600,368230,146.96875
948205800,28.78125,29.09375,28.32812,28.32812,241700,378390,144.4375
948724200,28.51562,28.54687,26.26562,27,408300,396630,135.875
949329000,26.85937,27.29687,26.75,27.10937,194000,403785,142.59375
949933800,26.9375,27.09375,25.32812,25.46875,337400,412195,138.6875
950538600,25.5,26.57812,25.45312,25.79687,235200,407725,135.3125
951229800,26.25,26.39062,25.29687,25.32812,156200,407260,133.32812
951748200,25.42187,26.60937,25,26.34375,3343600,571035,141.125
952353000,26.25,26.48437,25,25.78125,837700,578325,140.1875
952957800,25.17187,28.125,24.90625,27.59375,561900,602015,146.9375
953562600,27.85937,29.375,27.4375,29.04687,235300,606600,153.5625
954167400,29.07812,29.51562,28.5625,29.20312,57100,605475,150.375
954768600,29.3125,29.875,27.875,29.57812,427300,623040,151.4375
955373400,29.625,30.125,27.59375,27.59375,1102900,674635,138.375
955978200,27.92187,28.71875,27.6875,28.71875,47500,650505,143.8125
956583000,28.5,30.4375,28.5,29.625,553400,663895,145.09375
957187800,29.73437,30.3125,28.82812,29.5625,278700,635015,143.53125
957792600,29.70312,30.09375,28.75,30.09375,22800,554015,142.8125
958397400,30,31.0625,29.6875,29.6875,29500,499195,141.125
959002200,29,29.75,28.67187,28.78125,70700,480440,138
959693400,29.0625,30.07812,28.90625,29.95312,247500,469435,147.84375
960211800,30.1875,30.1875,28.96875,29.1875,257100,470205,146.59375
960816600,29.25,29.64062,28.95312,28.98437,289400,464260,146.59375
961421400,28.9375,28.9375,27.29687,27.59375,318100,470465,144.375
962026200,28,28.73437,27.78125,28.28125,254600,466325,145.28125
962631000,28.40625,29,28.1875,28.46875,243300,466730,148.09375
963235800,28.23437,29.6875,28.15625,29.6875,135300,465685,151.25
963840600,29.79687,30.15625,29.42187,30,49400,300975,147.6875
964445400,29.9375,30.03125,28.28125,28.28125,61500,262165,142.09375
965050200,28.5625,29.25,28.5625,29.21875,181200,243130,146.375
965655000,29.20312,31.0625,29.20312,30.875,82800,235505,147.32812
966259800,31,31.21875,30.59375,30.71875,144000,239850,149.6875
966864600,30.84375,31.5625,30.84375,31.40625,277800,232375,151.25
967469400,31.71875,31.9375,31.15625,31.84375,158300,185145,152.375
968160600,31.71875,32.1875,31.25,31.4375,556400,210590,149.8125
968679000,31.65625,31.84375,30.375,30.375,428200,204330,146.09375
969283800,30.3125,30.625,29.34375,29.71875,76400,194215,145.28125
969888600,30.25,30.84375,30.21875,30.5625,109100,198530,143.625
970493400,30.28125,31.15625,30.125,30.25,48300,199470,141.0625
971098200,30.1875,30.4375,28.59375,29.71875,47800,198325,137.5625
971703000,29.90625,30.25,28.60937,29.4375,50200,188460,139.90625
972307800,29.8125,30.4375,29,29.82812,617300,206470,139.28125
972916200,30,31.46875,30,30.96875,13000,192650,142.78125
973521000,31.09375,31.53125,30.65625,30.65625,80200,180755,136.625
974125800,30,31.28125,29.60937,30.78125,26600,169355,136.64062
974730600,30.78125,30.78125,30.03125,30.71875,10000,157690,134.84375
975335400,31.0625,31.0625,29.84375,30.45312,1072100,204530,132.21875
975940200,30.84375,32.42187,30.8125,32.23437,105800,207350,133.96875
976545000,32.28125,32.65625,29.9375,30.25,48200,206685,130.96875
977149800,30.6875,30.90625,29.03125,30.15625,75000,201375,130.9375
977841000,30.3125,31.78125,30,31.25,70600,200765,131.1875
978445800,31.21875,31.625,29.1875,30.5,408000,213965,129.1875
978964200,30.23437,31.15625,29.78125,30.90625,466000,223375,132
979655400,30.96875,31.6875,30.71875,31.03125,59100,218415,134.01562
980173800,30.84375,31.40625,30.57812,30.67187,241800,202685,135.875
980778600,30.91,31.58,30.45,30.86,125900,187570,134.8
981383400,30.91,31.28,30.10001,30.12,61100,186805,131.84
981988200,30.22,31.12,30.02,30.08,523600,207530,130.39999
982679400,30.3,30.49001,28.89,29.5,107100,210470,124.96001
983197800,29.60001,30.25,29,29.45,264400,221300,123.61
983802600,29.60001,30.85001,29.60001,30.14999,93300,223455,123.36
984407400,29.55,29.55,27.00999,27.00999,253900,205285,115.00999
985012200,27.03,27.78,24.5,26.09,128300,211050,114.48
985617000,26.5,27.13,26,26.59,70900,210585,116.69
986218200,26.59,26.92999,25.24001,26.36,108400,214675,113.3
986823000,26.84,28.14999,26.53,27.85001,115300,219940,118.85001
987427800,27.73,29.75999,27.64,29.38,46700,168670,124.5
988032600,29.38,29.99001,28.60001,29.94,83100,167535,125.78
988637400,30.17,30.24001,29.32001,29.92,122500,171250,127.34
989242200,29.89999,30.60001,29.7,30.09,71200,171060,125.14999
989847000,30.23,31.99001,29.95,31.95,85500,171805,129.74001
990451800,31.95,32.47,31,31.16,196600,161235,128.10001
991143000,31.39999,31.39999,30.39,30.78,104700,143170,126.73
991661400,30.89999,31.49001,30.61,30.71001,170600,148745,127
992266200,30.41,30.71001,29.58,29.85001,119300,142620,121.85001
992871000,29.75,30.28999,29.49001,29.5,172300,144940,122.85001
993475800,29.73,29.78999,28.81,28.89999,306300,157200,122.60001
994080600,28.95,29.53,28.67999,28.73,178200,139930,119.05
994685400,28.89999,29.03999,27.82001,29,74900,138320,122.24001
995290200,29.2,29.5,28.33,29.25,76200,128910,121.34
995895000,29.00999,29.25,27.97,28.89999,245900,136540,120.81
996499800,28.99001,29.28,28.64999,29.17999,87700,128230,121.94
997104600,29,29.03999,28.27,29.03999,74400,125535,119.28999
997709400,29.10001,29.74001,27.33,28.37,173900,130685,116.75
998314200,28.62,28.87,28.17,28.87,101800,130355,119.02
998919000,28.89999,28.97,27.44,27.85001,162300,132705,114.14999
999610200,27.72,28.25999,26.45,26.5,155100,138125,108.72
1000128600,26.5,26.58,26.24001,26.45,8400,134390,110.05
1000733400,26.14999,26.14999,20.39999,21.67999,415700,149050,97.28
1001338200,22.55,23.74001,22.45,23.67,206200,155800,104.44
1001943000,23.7,24.78999,23.17,24.50999,93500,156200,107.23
1002547800,24.39,25.39999,23.95,25.06,126000,152670,109.5
1003152600,25.06,25.44,24.19,24.34,316200,163245,107.35001
1003757400,24.45,25.75,24.45,25.7,54700,157450,110.32001
1004365800,25.25,25.35001,23.8,24.97,107100,156840,109.25
1004970600,25.22,26.17999,25.14999,25.82001,153700,155910,112.72
1005575400,25.8,26.75,25.00999,26.62,186300,149910,114.36
1006180200,26.95,26.95,26.35001,26.87,237800,152890,115.67999
1006785000,26.89999,27.25,26.36,26.5,563800,177335,114.05
1007389800,26.37,27.60001,26.05,27.19,201900,183620,116.56
1007994600,27.19,27.19,26.25,26.32001,134600,178055,113.13
1008599400,26.7,27.77,26.64,27.77,5036200,425480,114.95
1009204200,27.64999,28.12,27.57001,28.05,1588500,501185,116
1009809000,27.89999,28.08,27.3,27.7,4061200,695550,117.62
1010413800,27.94,27.99001,26.56,26.56,2081100,794515,114.94
1011018600,26.75,26.75,25.32001,25.67999,506700,811735,113.14999
1011709800,26.35001,26.35001,25.25999,26.28999,118300,809895,113.55
1012228200,26.39999,26.39999,24.35001,25.75,867700,852860,112.64999
1012833000,25.2,25.28,24.12,24.89,6493600,1156755,110.09
1013437800,25,25.75,25,25.39,105100,1151700,110.89
1014129000,25.10001,26.09,25.10001,25.84,202100,1157130,109.64
1014647400,25.99001,27.25,25.99001,27.22,3065200,1304090,113.74001
1015252200,27.55,28.7,27.44,28.49001,1227100,1349635,116.99001
1015857000,28.39999,28.78,27.92,28.07001,756700,1384735,116.64999
1016461800,28.3,28.39,26.98,27.23,732100,1415985,115.03999
1017066600,27.44,27.48,26.75,27.24001,430000,1429800,114.52
1017671400,26.98,27.28999,26.41,26.92999,748400,1457905,112.69
1018272600,26.75999,27.75,26.7,26.82001,605200,1476275,111.42
1018877400,26.71001,27.10001,26.2,26.47,1161000,1506135,112.88
1019482200,26.35001,26.44,25.09,25.21001,1389100,1565495,107.39
1020087000,25.34,25.63,24.64999,25.53999,757600,1596645,107.58
1020691800,25.49001,25.89,24.77,25.05,814400,1385555,105.72
