time,open,high,low,close,Volume,Volume MA,SPY · NYSE Arca: close
1216128600,10.894995,11.185,10.79,11,22237626,13788504.8,120.99001
1216215000,11.055,11.24,10.935,11.160005,13718618,14069442.7,123.96001
1216301400,11.300005,11.410005,11.17,11.275,26019320,14927509.1,125.2
1216387800,11.339995,11.4,11.089995,11.4,19338234,15261744.6,125.98
1216647000,11.265,11.269995,11.08995,11.175005,9950132,15113442.2,126.05
1216733400,10.949995,11.115,10.875,11.115,15545414,15472798.4,127.48
1216819800,11.199995,11.39,11.144995,11.315,16389242,15743671.4,128.17
1216906200,11.36,11.365,11.025,11.025,12679930,15864440.6,125.50999
1216992600,11.18,11.214995,11.07,11.18,20218618,16340499.2,125.48
1217251800,11.185,11.185,10.935,10.945,10263062,15913158.2,123.64
1217338200,11.004995,11.19,11,11.165,8644304,15868814.4,126.28
1217424600,11.21,11.26,11.08,11.24,15122266,15699994.9,128.53
1217511000,11.15,11.32,11.1,11.175005,11852852,15642469.9,126.83
1217597400,11.24,11.24,10.98005,11.050005,17579196,16092509.8,126.16
1217856600,11.089995,11.13465,11.000505,11.105005,9051078,15859786.4,124.99001
1217943000,11.135,11.355005,11.085,11.315,9738126,15679284.1,128.36
1218029400,11.29,11.475,11.25,11.475,12255500,15697773.6,128.92999
1218115800,11.39,11.535005,11.31,11.455,17817898,15936648.2,127.00999
1218202200,11.425005,11.705,11.410005,11.675005,11781992,15193484.9,129.37
1218461400,11.705,11.894995,11.635,11.75,11214296,14570885.2,130.71001
1218547800,11.78,11.839995,11.714995,11.775,9625376,13940272.7,129.35001
1218634200,11.765,11.815,11.625,11.730005,9585704,13733627,128.57001
1218720600,11.71,11.875,11.64,11.82,12528148,13059068.4,129.53999
1218807000,11.839995,11.915,11.76,11.865,9372524,12560782.9,130.17
1219066200,11.879995,11.879995,11.620005,11.714995,9678500,12547201.3,128.39
1219152600,11.629995,11.6607,11.485,11.51,10864742,12313167.7,126.99001
1219239000,11.574995,11.660005,11.49,11.535005,11079328,12047672,127.58
1219325400,11.485,11.56,11.410005,11.49,8122206,11819785.8,127.8
1219411800,11.615,11.74,11.585,11.65,5864148,11102062.3,129.64999
1219671000,11.615,11.665,11.475,11.5,13372492,11257533.8,127.02
1219757400,11.5,11.515,11.385,11.455,12225242,11436580.7,127.39
1219843800,11.5,11.629995,11.445,11.565,7579598,11059447.3,128.63
1219930200,11.61,11.714995,11.61,11.635,10645274,10999068.4,130.19
1220016600,11.550005,11.589995,11.375,11.375,17844906,11012353.9,128.78999
1220362200,11.635,11.665,11.28,11.31,11437438,11131671.9,127.99001
1220448600,11.275,11.315,11.095155,11.160005,13318196,11310675.4,127.88
1220535000,11.074995,11.085,10.74,10.76,17807118,11588256.3,124.03
1220621400,10.68,10.839995,10.625,10.76,14408782,11417800.5,124.42
1220880600,11.045,11.045,10.665,10.89,25334054,12095403.6,126.99001
1220967000,10.85,10.975,10.655,10.699995,16326226,12351000.1,123.22
1221053400,10.79,10.79,10.65,10.65,14895140,12614488.3,123.72
1221139800,10.58,10.824995,10.480005,10.824995,19512524,13110829.3,125.50999
1221226200,10.69,10.875,10.585,10.875,14367852,13202814.5,126.09
1221485400,10.46,10.72,10.35,10.35,40395456,14753961.1,120.09
1221571800,10.225,10.545,10.14,10.545,54853280,17012700.1,122.10001
1221658200,10.25,10.33,9.42,9.96,44263104,18682618.2,116.61
1221744600,10.065,10.385,9.754995,10.385,45571936,20407248.6,120.07001
1221831000,11.115,11.115,10.425005,10.425005,22431594,21122718,124.12
1222090200,10.525,10.574995,10.125,10.155,17706360,21714828.6,121.31
1222176600,10.205,10.405,10.03,10.15,33454210,22718914.5,118.55
1222263000,10.17,10.245005,10.065,10.175005,14168500,22816077.4,118.92999
1222349400,10.235,10.5086,10.182505,10.35,29713804,23922787.7,120.78999
1222435800,10.085,10.46,10.07,10.4,33362500,25058649,120.85001
1222695000,10.160005,10.22,9.480005,9.5,41041408,26218474.1,111.38
1222781400,9.589995,9.964995,9.589995,9.925005,20694524,26681328.4,115.99001
1222867800,9.839995,9.885,9.64,9.835,26947390,27362788.1,116.06
1222954200,9.629995,9.6914,9.335,9.449995,21715742,27558219.3,111.85001
1223040600,9.53,9.762495,9.275,9.315,26107500,28143155.2,110.34
1223299800,9.074995,9.135,8.53,8.800005,40746720,28913788.5,104.72
1223386200,9.025,9.035005,8.35,8.35,29728156,29583885,100.03
1223472600,8.15,8.675005,8.144995,8.275,48608096,31269532.8,97.50999
1223559000,8.44,8.565,7.65,8,46290112,32608412.2,90.7
1223645400,7.63,8.29,7.47,7.95,63060192,35043029.2,88.5
