time,open,high,low,close,Volume,Volume MA,SPY · NYSE Arca: close
914250600,16.203125,16.40625,15.890505,16.34375,1765000,,122.6875
914855400,16.59375,16.59375,16.171875,16.3125,1211800,,123.3125
915460200,16.328125,17.78125,16.296875,17.4375,5275800,,127.75
916065000,17.9375,17.9375,16,17.390625,5104600,,124.375
916669800,17.8125,18.742185,17.19531,17.375,8706800,,122.5625
917274600,17.59375,18.921875,17.296875,18.90625,9729200,,127.65625
917879400,19.078125,19.1875,17.375,17.65625,14569200,,124.0625
918484200,17.875,18.25,17.125,17.390625,20772000,,123.625
919089000,17.875,17.90625,16.671875,17.171875,16518200,,124.25
919693800,17.296875,18.234375,16.875,17.03125,23685600,,123.5625
920298600,16.8125,17.5,16.4375,17.34375,20512200,,127.54687
920903400,17.75,18.09375,17.28125,17.46875,10179200,,129.375
921508200,17.59375,18.4375,17.32031,17.75,5148400,,129.6875
922113000,17.75,18.1875,17.046875,17.890625,7934800,,128.5625
922717800,18.125,18.90625,18.078125,18.585935,5770800,,129.34375
923319000,18.8125,19.78125,18.796875,19.5,6722000,,134.875
923923800,18.8125,19.375,18,18.09375,8570200,,131.53125
924528600,18.28125,19.171875,17.0625,19,8044600,,135.8125
925133400,19.21875,19.734375,17.96875,18.40625,5632800,,133.25
925738200,18.5,18.796875,17.875,18.5,5585400,9571930,135
926343000,18.6875,19.640625,18.53125,18.75,4053600,9686360,133.78125
926947800,18.640625,19.367185,18.554685,18.78125,3015400,9776540,133.34375
927552600,18.78125,18.875,17.6875,18.46875,4503200,9737910,130.20312
928157400,18.492185,18.71875,17.734375,18.66406,2695800,9617470,133.21875
928762200,18.804685,19.125,18.25,18.3125,2789400,9321600,129.8125
929367000,18.46875,19.53125,18.15625,19.53125,2983000,8984290,134.3125
929971800,19.617185,20.09375,19.242185,19.367185,4562200,8483940,131.70312
930576600,19.5625,20.734375,19.44531,20.734375,2673600,7579020,139.40625
931181400,20.84375,21.367185,20.4375,21.367185,2771800,6891700,140.5
931786200,21.4375,22,21.07031,21.921875,2445600,5829700,141.8125
932391000,21.953125,21.984375,20.148435,20.34375,4694800,5038830,135.75
932995800,20.0625,20.71875,19.859375,20.00781,4039800,4731860,132.75
933600600,19.90625,20.367185,19.265625,19.8125,5268400,4737860,130.375
