time,open,high,low,close,Volume,Volume MA,SPY · NYSE Arca: close
1773840960,139.535,139.65,139.46,139.52,286615,29642.65,669.23
1773841140,139.525,139.685,139.405,139.57,156335,37410.55,669.17
1773841320,139.57,139.72,139.32,139.51,127817,43775.7,668.7301
1773841500,139.51,139.83,139.5,139.77,140051,50765,669.492
1773841680,139.78,139.815,139.635,139.71,113487,56346,668.95
1773841860,139.73,139.78,139.61,139.72,103314,61479.45,668.8
1773842040,139.72,139.87,139.67,139.79,108752,66888.75,668.67
1773842220,139.78,139.95,139.73,139.95,92823,71520.25,669.28
1773842400,139.95,139.98,139.66,139.66,111259,77060,668.25
1773842580,139.67,139.89,139.6,139.81,82739,81176.55,668.26
1773842760,139.82,140.07,139.76,140.06,70348,84633.2,669.37
1773842940,140.05,140.05,139.63,139.68,128630,91054.7,668.0311
1773843120,139.685,139.725,139.32,139.32,64175,94235.2,667.16
1773843300,139.33,139.535,139.32,139.37,77272,98044.55,667.5719
1773843480,139.37,139.43,139.23,139.23,64468,101214.45,667.4
1773843660,139.22,139.32,139.16,139.2165,45723,103405.4,667.42
1773843840,139.21,139.27,138.72,138.73,78192,107237.9,665.9799
1773844020,138.74,138.87,138.71,138.83,126023,113513.15,665.96
1773844200,138.83,139.06,138.81,139.06,134923,110165.15,666.52
1773844380,139.055,139.15,138.955,139.01,86055,109950.05,666.135
1773844560,139.005,139.06,138.915,139.04,72835,99261.05,666.5
1773844740,139.04,139.05,138.865,138.9255,73911,95139.85,665.98
1773844920,138.94,139,138.84,138.865,82193,92858.65,665.94
1773845100,138.855,138.99,138.855,138.98,64419,89077.05,666.39
1773845280,138.985,139,138.79,138.94,45864,85695.9,666.16
1773845460,138.94,139.015,138.885,139.01,38730,82466.7,666.21
1773845640,139.01,139.155,139.01,139.13,45882,79323.2,666.42
1773845820,139.14,139.305,139.12,139.305,41395,76751.8,667.14
1773846000,139.305,139.52,139.23,139.315,157615,79069.6,666.93
1773846180,139.315,139.54,139.26,139.54,44799,77172.6,667.44
1773846360,139.535,139.705,139.48,139.655,56677,76489.05,667.805
1773846540,139.66,139.688,139.54,139.655,399783,90046.7,667.81
1773846720,139.65,139.69,139.515,139.565,60964,89886.15,667.51
1773846900,139.57,139.62,139.525,139.54,34491,87747.1,667.42
1773847080,139.54,139.58,139.3342,139.34,45512,86799.3,666.55
1773847260,139.34,139.48,139.29,139.44,33108,86168.55,666.99
1773847440,139.43,139.48,139.385,139.42,27894,83653.65,667.08
1773847620,139.425,139.475,139.39,139.4,32566,78980.8,666.9342
