time,open,high,low,close,Volume,Volume MA,SPY · NYSE Arca: close
1444311000,30.01,30.21,30.01,30.21,2000,,201.21
1444397400,30.2,30.2,30.06,30.16,4335,,201.33
1444656600,30.4199,30.42,30.27,30.3499,2250,,201.52
1444743000,30.16,30.16,30.16,30.16,508,,200.25
1444915800,30.03,30.07,30.03,30.07,2515,,202.35
1445002200,30.5958,30.66,30.5958,30.642,400,,203.27
1445261400,30.7,31.01,30.7,30.9999,2001,,203.37
1445347800,31.36,31.36,30.99,31.03,3240,,203.09
1445434200,31.055,31.055,31.055,31.055,400,,201.85
1445520600,31.18,31.4625,31.177,31.4475,2180,,205.26
1445607000,31.0526,31.07,30.94,31.07,3548,,207.51
1445866200,31.028,31.12,31.028,31.11,576,,207
1445952600,31.06,31.12,31,31.1183,3350,,206.6
1446039000,31.24,31.33,31.005,31.005,3210,,208.95
1446125400,31.03,31.146,31.01,31.146,3906,,208.83
1446211800,30.95,30.95,30.95,30.95,211,,207.93
1446561000,31.6,31.6,31.32,31.35,520,,211
1446647400,31.52,31.52,31.22,31.22,1850,,210.36
1446733800,31.28,31.28,30.95,31.1,23810,,210.15
1446820200,30.38,30.38,29.95,29.95,9031,3492.05,210.04
1447079400,30.0601,30.1036,29.6,29.71,45453,5664.7,208.08
1447165800,30.11,30.11,29.85,30.03,27240,6809.95,208.56
1447252200,30.105,30.26,29.99,30.1339,27147,8054.8,207.74
1447338600,29.86,30.08,29.86,29.95,63887,11223.75,204.84
1447425000,29.82,29.87,29.556,29.56,47674,13481.7,202.54
1447684200,29.53,29.62,29.53,29.53,4200,13671.7,205.62
1447770600,30,30.18,29.93,29.99,25680,14855.65,205.47
1447857000,29.64,30.3448,26.7,30.3448,28556,16121.45,208.73
1447943400,30.41,30.55,30.41,30.51,3517,16277.3,208.55
1448029800,30.71,30.77,30.71,30.76,597,16198.15,209.3108
1448289000,30.97,31.012,30.92,30.92,2392,16140.35,209.07
1448375400,31.02,31.02,30.45,30.45,2524,16237.75,209.35
1448893800,31,31,30.7223,30.75,1627,16151.6,208.69
1448980200,30.98,31.2586,30.98,31.2586,5557,16268.95,210.68
1449066600,31.11,31.22,30.62,30.62,4397,16293.5,208.529
1449153000,30.37,30.37,30.01,30.01,776,16321.75,205.61
1449239400,30.31,30.83,30.31,30.62,4378,16514.65,209.62
1449585000,30.28,30.76,29.92,30.72,4645,16654.4,206.949
1449671400,30.51,30.55,30.51,30.55,643,15496.05,205.34
1449757800,30.3,30.3,30.3,30.3,660,15077.5,205.87
1449844200,30.18,30.18,30.1382,30.1382,330,12821.35,201.88
1450103400,30.1,30.27,30.09,30.2312,628,11490.75,202.9008
1450189800,30.723,30.79,30.58,30.58,4147,10340.75,205.0308
1450276200,30.86,31.13,30.86,31.13,1618,7227.3,208.03
1450362600,31.46,31.46,31.0578,31.09,2420,4964.6,204.86
1450449000,30.5626,30.59,30.35,30.35,1372,4823.2,200.0208
1450708200,30.456,30.456,30.4,30.4,485,3563.45,201.67
1450794600,30.68,30.68,30.68,30.68,201,2145.7,203.5
1450881000,30.75,30.98,30.75,30.98,4493,2194.5,206.02
1450967400,30.8557,31.01,30.8557,31.01,330,2181.15,205.68
1451313000,31.03,31.03,30.92,30.9272,2126,2167.85,205.21
1451399400,31.25,31.49,31.25,31.44,3457,2214.5,207.4
1451485800,31.57,31.59,31.4399,31.4399,2037,2235,205.93
1451572200,31.32,31.39,31.184,31.184,36795,3796.9,203.87
1451917800,30.98,30.98,30.3612,30.46,1937,3673.9,201.0192
1452004200,30.93,31.383,30.93,31.383,1518,3711,201.36
1452090600,30.82,31.1849,30.82,31.08,3724,3678.3,198.82
1452177000,30.7208,30.7495,30.507,30.51,1547,3523.4,194.05
1452263400,30.51,30.519,30.08,30.11,3993,3690.9,191.923
1452522600,30.2899,30.2899,30.2899,30.2899,477,3681.75,192.11
1452609000,30.04,30.11,29.96,29.96,2269,3778.7,193.6608
1452695400,30.24,30.29,29.65,29.65,3338,3914.2,188.83
1452781800,29.8284,29.8284,29.5001,29.75,3706,3892.15,191.93
1452868200,29.146,29.3,29.146,29.25,1414,3881.95,187.81
1453213800,29.5099,29.5099,29.355,29.45,4705,3996.2,188.06
