time,open,high,low,close,Volume,Volume MA,SPY · NYSE Arca: close
1444051800,30.01,30.21,30.01,30.16,6335,,201.33
1444656600,30.4199,30.66,30.03,30.642,5673,,203.27
1445261400,30.7,31.4625,30.7,31.07,11369,,207.51
1445866200,31.028,31.33,30.95,30.95,11253,,207.93
1446474600,31.6,31.6,29.95,29.95,35211,,210.04
1447079400,30.0601,30.26,29.556,29.56,211401,,202.54
1447684200,29.53,30.77,26.7,30.76,62550,,209.3108
1448289000,30.97,31.02,30.45,30.45,4916,,209.56
1448893800,31,31.2586,30.01,30.62,16735,,209.62
1449498600,30.28,30.76,29.92,30.1382,6278,,201.88
1450103400,30.1,31.46,30.09,30.35,10185,,200.0208
1450708200,30.456,31.01,30.4,31.01,5509,,205.68
1451313000,31.03,31.59,30.92,31.184,44415,,203.87
1451917800,30.98,31.383,30.08,30.11,12719,,191.923
1452522600,30.2899,30.29,29.146,29.25,11204,,187.81
1453213800,29.5099,29.5099,28.1199,29.48,9745,,190.52
1453732200,29.59,29.8559,29.01,29.19,3664,,193.7208
1454337000,29.607,29.8101,29.0465,29.098,7346,,187.95
1454941800,28.1,28.1,27.0707,27.49,5003,,186.63
1455633000,28.4,28.7,28.328,28.66,6738,24412.45,192
1456151400,29.1,29.505,28.91,29.37,4535,24322.45,195.0892
1456756200,29.627,30.53,29.33,30.49,5771,24327.35,200.43
1457361000,30.61,30.89,30.1884,30.89,7252,24121.5,202.76
1457962200,31.039,32.046,30.9601,31.47,144211,30769.4,204.38
1458567000,31.62,31.62,30.9767,31.19,9828,29500.25,203.12
1459171800,31.01,32.33,31.01,32.227,36016,20731,206.92
1459776600,32.2715,32.2715,31.7202,32.02,10244,18115.7,204.4992
1460381400,32.0561,32.204,31.8447,32.11,11657,18452.75,207.78
1460986200,32.13,32.41,31.0101,31.4601,39322,19582.1,208.97
1461591000,31.505,33.1499,31.0895,31.38,27162,20626.3,206.3308
1462195800,31.19,32.668,31.19,32.53,16531,20943.6,205.72
1462800600,32.78,33.19,31.91,32.021,27231,22029.7,204.76
1463405400,32.12,32.4999,30.9852,31.2816,20737,20845.8,205.49
1464010200,31.41,32.02,31.3499,31.9053,15754,20997.55,210.24
1464701400,32.01,32.1599,31.634,32.0443,8240,20849.35,210.28
1465219800,32.09,32.3084,31.9,32.15,15991,21161.65,210.07
1465824600,32.35,32.52,31.898,32.17,33358,22646.35,206.52
1466429400,32.49,32.57,31.85,32.16,21774,23367.75,203.13
1467034200,32,33.83,31.885,33.5701,36426,24938.9,209.9208
1467725400,33.61,34,33.3283,33.928,31857,26194.85,212.65
1468243800,34.22,34.48,33.86,34.179,1265663,89251.25,215.83
1468848600,34.22,34.72,34.07,34.6,42524,91088.9,217.24
1469453400,34.65,34.77,33.98,34.678,67891,94120.85,217.12
1470058200,34.71,34.82,33.82,33.94,398322,106826.4,218.18
1470663000,33.94,34.24,33.6201,33.88,292679,120968.95,218.46
1471267800,34.09,34.09,33.13,33.24,84375,123386.9,218.54
1471872600,33.12,33.6399,32.9,33.1,233634,134556.4,217.29
1472477400,33.13,33.89,33.0693,33.59,323231,150135.1,218.37
1473168600,33.76,33.9,32.12,32.16,1954680,245903,213.28
1473687000,32.15,32.68,31.65,31.91,10176994,753394.6,213.37
1474291800,31.99,33.45,31.83,33.32,30756703,2290403.2,215.99
1474896600,33.15,33.44,32.73,32.77,15416637,3059873.5,216.3
1475501400,32.66,32.7,30.63,31.04,14606401,3789156.7,215.04
1476106200,31.05,31.7299,30.8234,31.42,11266885,4351713.25,213.12
1476711000,31.42,31.83,31.35,31.6,10689930,4885797.75,213.98
1477315800,31.65,31.96,30.3553,30.53,7740730,5272034.7,212.54
1477920600,30.6,30.98,29.67,29.94,9889470,5764840.3,208.55
1478529000,30.14,30.77,29.0735,29.57,18319589,6679731.05,216.42
1479133800,29.41,30.52,29.2,29.71,12385719,7297195.7,218.5
1479738600,29.75,30.23,29.61,30.06,6608321,7626018.9,221.52
1480343400,30,30.55,29.41,29.83,10846248,8105048.15,219.68
1480948200,29.83,31.26,29.765,30.97,8386793,8522261.6,226.51
1481553000,30.85,31.48,30.09,30.44,14971206,9267427.35,225.04
1482157800,30.53,30.94,30.0058,30.33,8227458,9658884.15,225.71
1482849000,30.4,30.82,30.115,30.75,7093594,9998929.9,223.53
1483453800,30.86,31.55,30.6339,31.4,8466713,10418046.8,227.21
1483972200,31.44,31.47,30.39,30.69,8851463,10848938.25,227.05
1484663400,30.67,31.14,30.6,30.9,6570953,11161324.35,226.74
1485181800,30.84,31.25,30.52,30.63,10208249,11574002.8,228.97
1485786600,30.51,31.02,30.32,30.93,9614945,11545900.35,229.34
1486391400,30.87,31.3,30.64,31.28,7584510,10387290.7,231.51
1486996200,31.34,31.55,30.9,31.4,14188083,10325863,235.09
1487687400,31.35,32.095,31.34,32.08,11225207,10156803.3,236.74
1488205800,32.09,32.3501,31.57,31.86,10930470,10139982.55,238.42
1488810600,31.72,31.8,30.54,30.72,10454199,10128196,237.69
1489411800,30.72,31.45,30.6,31.1,11243215,10303320.25,237.03
1490016600,31.1,31.565,30.86,31.35,14007888,10509241.15,233.86
1490621400,31.28,31.7,30.94,31.6,11481435,10167333.45,235.74
1491226200,31.66,31.94,31.45,31.82,8505792,9973337.1,235.2
1491831000,31.9,32.28,31.79,32.07,6967059,9991274,232.51
1492435800,32.1,32.5906,32.1,32.33,12790591,10088491.15,234.59
1493040600,32.46,32.5,31.49,31.65,8129220,10075612.5,238.08
1493645400,31.7,31.971,31.14,31.75,9821684,9818136.4,239.7
1494250200,31.71,31.8335,31.23,31.36,8076167,9810571.85,238.98
1494855000,31.36,31.93,31.25,31.78,10581090,9984946.65,238.31
1495459800,31.78,32.3482,31.72,32,6813077,9902264.85,241.71
1496151000,31.99,32.3065,31.7246,32.24,5302943,9724838.85,244.17
1496669400,32.19,32.26,31.77,32.18,7764338,9784508.1,243.41
1497274200,32.09,32.8233,32.01,32.44,10037582,9775974.75,242.64
1497879000,32.47,32.62,32.15,32.49,24232956,10506875.3,243.13
1498483800,32.54,32.835,32.11,32.2,11670215,10711160.55,241.8
1499088600,32.34,32.58,31.49,31.71,7109418,10357227.3,242.11
1499693400,31.73,32.24,31.21,32.2,6637237,10127828.8,245.56
1500298200,32.17,32.58,32.12,32.44,11451154,10153863,246.88
1500903000,32.44,32.77,32.2,32.64,9362940,10099300.05,246.91
1501507800,32.62,32.84,32.36,32.59,7644519,9919365.25,247.41
1502112600,32.56,32.64,31.8244,31.96,5947070,9516324.35,244.12
1502717400,32.08,32.645,31.97,32.06,7031544,9293829.8,242.71
1503322200,32.1,32.93,32.02,32.8,5877374,9162408.9,244.56
1503927000,32.84,33.05,32.45,32.92,7908572,9209484.55,247.84
1504618200,32.94,33.315,32.69,33.2,7630393,8951474.65,246.58
1505136600,33.23,33.46,32.76,33.05,8592821,8974654.7,249.19
1505741400,33,33.105,32.0757,32.11,8377423,8902441.65,249.44
1506346200,32.12,32.35,31.88,32.24,7960864,8896676.5,251.23
1506951000,32.28,32.61,32.041,32.4,9133095,8824276.75,254.37
1507555800,32.44,33.117,32.35,33.02,7305910,8848918.4,254.95
1508160600,32.99,33.08,32.615,32.73,7211729,8944357.7,257.11
1508765400,32.8,32.8,31.865,32.19,8637643,8988022.95,257.71
1509370200,32.2,32.9432,32.17,32.75,10883603,9030324,258.45
1509978600,32.94,33.97,32.91,33.81,10165401,8326946.25,258.09
1510583400,33.9,34.0238,33.55,33.56,9184135,8202642.25,257.86
1511188200,33.59,33.72,33.44,33.67,4084227,8051382.7,260.36
1511793000,33.7,33.73,33.21,33.51,9701968,8204619.25,264.46
1512397800,33.56,33.68,32.84,33.2,8095447,8036833.9,265.51
1513002600,33.19,33.67,33.0586,33.19,7175630,7927468.4,266.51
1513607400,33.25,33.455,32.15,32.42,6471751,7868830,267.51
1514298600,32.44,33.04,32.38,32.94,7290416,7935997.3,266.86
1514903400,32.99,33.04,32.18,32.27,6683716,7918605.9,273.42
1515421800,32.31,32.53,31.1033,31.19,7442730,7996873.7,277.92
1516113000,31.38,31.85,31.17,31.44,11151464,8159018.3,280.41
1516631400,31.46,32.26,31.43,32.16,10547675,8304882.4,286.58
1517236200,32.07,32.4201,31.16,31.36,16310090,8690745.85,275.45
1517841000,31.25,31.59,29.17,30.09,44747395,10509244.45,261.5
1518445800,30.22,30.82,29.44,30.68,23026048,11262503.65,273.11
1519137000,30.52,30.84,29.81,30.7,22237401,11917718.95,274.71
1519655400,30.79,30.85,29.61,29.86,21610853,12632966.1,269.08
1520260200,29.74,30.97,29.66,30.97,37316298,14138194.55,278.87
1520861400,30.97,31.415,30.93,31.26,15779210,14495272.9,274.2
1521466200,31.26,31.26,29.9901,30.07,23981674,15150176.45,258.05
1522071000,30.32,31.23,30.13,31.08,22347140,15759263.4,263.15
1522675800,31.12,31.34,30.48,30.88,27812254,16690669.35,259.72
1523280600,30.94,31.14,30.31,30.54,17885251,17380720.55,265.15
1523885400,30.62,31.27,30.18,30.22,13375593,17564401.8,266.61
1524490200,30.22,31.11,30.0332,31.01,14212041,17870231.5,266.56
1525095000,30.94,31.4,30.791,31.31,14399967,18231448.35,266.02
1525699800,31.36,31.81,31.045,31.53,7764360,18296078.8,272.85
1526304600,31.54,31.56,30.43,30.56,8969710,18380043.5,271.33
1526909400,30.63,31.32,30.43,31.19,7839384,18437826.9,272.15
1527600600,31.12,31.805,30.99,31.71,13080360,18719708.4,273.6
1528119000,31.78,32.135,31.675,32.06,15021557,18913213.05,278.19
1528723800,32.03,32.31,31.4532,31.49,9873939,18879526.25,277.13
1529328600,31.39,32.34,31.285,32.31,13487760,18738409.75,274.74
1529933400,32.33,32.86,32.045,32.71,18461678,17424123.9,271.28
1530538200,32.67,33.35,32.155,33.28,14336986,16989670.8,275.42
1531143000,33.33,33.33,32.8,33,11573525,16456477,279.59
1531747800,32.86,32.96,32.32,32.5,10976763,15924772.5,279.68
1532352600,32.49,32.9,32.14,32.45,12433075,14680611.35,281.42
1532957400,32.48,33.585,32.19,33.54,16428966,14713099.15,283.6
1533562200,33.57,33.67,32.91,32.93,12014025,14114716.7,283.16
1534167000,32.93,33.93,32.85,33.92,12456971,13620208.25,285.06
1534771800,33.97,34.135,33.3,33.59,10211685,12740179.8,287.51
1535376600,33.61,34.06,33.36,33.85,9181301,12304982.3,290.31
1536067800,33.78,33.93,33.32,33.44,9427083,12107556.8,287.6
1536586200,33.59,33.96,33.375,33.58,8124773,11803193.4,290.88
1537191000,33.5,33.82,33.04,33.15,9707328,11568561.45,291.99
1537795800,33.04,33.05,32.07,32.61,11640512,11762369.05,290.72
1538400600,32.61,32.6984,31.47,31.75,15373271,12082547.1,287.82
1539005400,31.85,32.37,30.65,30.81,26714289,13026292.35,275.95
1539610200,30.8,31.93,30.76,31.82,16961218,13220335.25,276.25
1540215000,31.9,32.49,31.16,31.48,29238226,13931168.7,265.33
1540819800,31.71,32.75,31.58,31.94,29498670,14912405.25,271.89
1541428200,32.02,33.2,32.02,33.12,17193387,15097686.6,277.76
1542033000,33.13,33.49,32.67,33.46,24435423,15396373.85,273.73
