time,open,high,low,close,Volume,Volume MA,SPY · NYSE Arca: close
914250600,12.6565,13.023435,12.6565,13.023435,34600,,122.6875
914855400,12.960935,13.203125,12.90625,13.0625,147600,,123.3125
915460200,13.078125,13.703125,12.953125,13.578125,93800,,127.75
916065000,13.625,13.640625,12.84375,13.085935,282400,,124.375
916669800,13.234375,13.421875,12.9375,13.234375,102800,,122.5625
917274600,13.171875,13.78125,13.109375,13.734375,49600,,127.65625
917879400,13.796875,13.91406,13.390625,13.390625,150800,,124.0625
918484200,13.50781,13.63281,13.109375,13.375,89600,,123.625
919089000,13.492185,13.773435,13.38281,13.585935,56800,,124.25
919693800,13.625,14.046875,13.328125,13.648435,114800,,123.5625
920298600,13.609375,14.421875,13.53125,14.328125,115800,,127.54687
920903400,14.4375,14.78125,14.203125,14.609375,113600,,129.375
921508200,14.59375,14.75,14.359375,14.53125,80200,,129.6875
922113000,14.5,14.5,13.796875,14.15625,115600,,128.5625
922717800,14.398435,14.609375,14.19531,14.28125,139800,,129.34375
923319000,14.375,15.16406,14.328125,15.140625,255600,,134.875
923923800,14.90625,15.328125,14.59375,14.859375,301800,,131.53125
924528600,15.09375,15.28125,14.484375,15.171875,271600,,135.8125
925133400,15.234375,15.296875,14.234375,14.671875,319400,,133.25
925738200,14.703125,15.21875,14.40625,14.734375,738600,178740,135
926343000,14.78125,15.203125,14.625,14.734375,173200,185670,133.78125
926947800,14.5,14.765625,14.28125,14.390625,57600,181170,133.34375
927552600,14.359375,14.4375,13.8125,14.00781,57400,179350,130.20312
928157400,14.03125,14.578125,13.88281,14.5,90200,169740,133.21875
928762200,14.4375,14.5625,13.88281,13.90625,44800,166840,129.8125
929367000,14.03125,14.234375,13.8125,14.21875,68600,167790,134.3125
929971800,14.296875,14.46875,13.9375,14.09375,39600,162230,131.70312
930576600,14.140625,15.125,14.140625,15.046875,71200,161310,139.40625
931181400,15.09375,15.28906,14.859375,14.90625,116000,164270,140.5
931786200,14.921875,15.015625,14.671875,15.015625,335800,175320,141.8125
932391000,15.03125,15.03125,14.15625,14.15625,99600,174510,135.75
932995800,14.078125,14.375,13.71875,13.78125,161800,176920,132.75
933600600,13.828125,13.921875,12.90625,13.015625,469400,196380,130.375
934205400,13.0625,13.546875,12.578125,13.546875,49800,193090,133.15625
934810200,13.53125,13.84375,13.429685,13.6875,95000,190850,133.90625
935415000,13.867185,14.03125,13.59375,13.703125,89200,182530,135.0625
936019800,13.59375,13.60156,13,13.46875,77600,171320,135.96875
936624600,13.3125,13.523435,13.117185,13.484375,127000,164090,135.875
937229400,13.421875,13.46875,12.835935,13.140625,38000,150020,133.75
937834200,13.10156,13.148435,12.765625,12.765625,85800,117380,127.75
938439000,12.97656,13.171875,12.671875,13.109375,183600,117900,128.46875
939043800,13.28125,14.054685,13.28125,14.054685,209800,125510,133.875
939648600,13.625,14.19531,13.16406,13.16406,279200,136600,124.875
940253400,13.148435,13.898435,12.953125,13.85156,135200,138850,130.09375
940858200,13.578125,14.53125,13.109375,14.19531,120600,142640,137
941466600,14.25,14.3125,13.875,14.140625,89400,143680,137.875
942071400,14.109375,14.359375,13.890625,14.359375,71000,145250,139.75
942676200,14.234375,14.5625,14.22656,14.25,83400,145860,142.49609
943281000,14.0625,14.28125,13.94531,14.28125,46200,142370,141.375
943885800,14.234375,14.59375,14.19531,14.47656,381000,144630,143.84375
944490600,14.484375,14.617185,14.109375,14.546875,127200,146010,141.875
945095400,14.6875,15.203125,14.6875,15.09375,1785600,227200,142.6875
945700200,15.015625,15.09375,14.617185,15.03906,4519200,429690,146.48437
946305000,15.265625,15.546875,15.109375,15.53125,2843800,569390,146.875
946909800,15.5,15.5,14.359375,15.28125,1439800,636630,145.75
947514600,15.265625,15.3125,14.96875,15.07031,595600,661950,146.96875
948205800,15,15.13281,14.44531,14.44531,998400,707990,144.4375
948724200,14.546875,14.5625,13.453125,13.5,475400,725410,135.875
949329000,13.4375,14.179685,13.4375,14.03125,390600,743040,142.59375
949933800,13.9375,14.13281,13.38281,13.492185,596400,768570,138.6875
950538600,13.484375,13.65625,12.41406,12.5,206400,769710,135.3125
951229800,12.671875,12.6875,11.94531,12.140625,1107800,814610,133.32812
951748200,12.34375,13,12.25781,12.91406,2079200,904610,141.125
952353000,12.78906,12.8125,12.015625,12.484375,3050800,1050390,140.1875
952957800,12.117185,14.25,12.117185,14.13281,3139400,1201330,146.9375
953562600,14.140625,14.421875,13.84375,14.179685,800400,1236880,153.5625
954167400,14.179685,14.94531,14.0625,14.63281,888400,1277750,150.375
954768600,14.828125,15.375,14.296875,15.0625,386400,1292900,151.4375
955373400,15.171875,15.96875,14,14,647800,1322980,138.375
955978200,14.1875,14.609375,13.6875,14.609375,430800,1325470,143.8125
956583000,14.609375,15.078125,14.328125,14.328125,114800,1324850,145.09375
957187800,14.390625,14.765625,13.671875,13.91406,554400,1263290,143.53125
957792600,13.78125,14.34375,13.6875,14.34375,313200,1052990,142.8125
958397400,14.21875,14.625,14.0625,14.07031,94800,915540,141.125
959002200,13.953125,14.03125,13.140625,13.140625,187400,852920,138
959693400,13.15625,14.03125,13.07031,14.03125,290400,837660,147.84375
960211800,13.875,14.0625,13.140625,13.15625,222800,798880,146.59375
960816600,12.859375,13.28125,12.796875,12.921875,653600,807790,146.59375
