time,open,high,low,close,Volume,Volume MA,SPY · NYSE Arca: close
1772219700,116.25,116.28,116.23,116.26,14512,23724.95,683.99
1772219880,116.26,116.29,116.24,116.265,20852,23448.6,683.93
1772220060,116.265,116.3,116.245,116.28,16257,23351.6,683.69
1772220240,116.28,116.305,116.265,116.28,23590,22956.25,683.7
1772220420,116.28,116.34,116.2,116.22,24625,22556.8,683.6
1772220600,116.225,116.23,116.15,116.21,30250,22851.85,683.35
1772220780,116.21,116.29,116.19,116.27,37959,23813.35,683.72
1772220960,116.275,116.32,116.24,116.28,22181,24150.9,683.78
1772221140,116.29,116.32,116.255,116.295,29180,24176.15,683.59
1772221320,116.285,116.285,116.185,116.23,22407,24094.25,683.38
1772221500,116.2324,116.3,116.2324,116.25,28975,24352.55,683.425
1772221680,116.245,116.255,116.2,116.2,18960,24067.65,683.17
1772221860,116.195,116.25,116.195,116.23,32275,24417.1,683.295
1772222040,116.225,116.275,116.22,116.25,35978,25307,683.4712
1772222220,116.25,116.275,116.23,116.26,26492,25921.9,683.35
1772222400,116.27,116.38,116.27,116.37,38899,26721.05,683.87
1772222580,116.375,116.395,116.325,116.35,42471,27218.35,683.83
1772222760,116.35,116.38,116.3201,116.365,44397,28236.05,684.03
1772222940,116.37,116.44,116.335,116.43,73621,30021.3,684.535
1772223120,116.435,116.575,116.43,116.575,37524,31070.25,685.22
1772223300,116.57,116.6,116.51,116.59,33743,32031.8,685.56
1772223480,116.6,116.65,116.55,116.55,23242,32151.3,685.24
1772223660,116.54,116.64,116.53,116.64,32521,32964.5,685.905
1772223840,116.645,116.69,116.58,116.61,30816,33325.8,685.8407
1772224020,116.6,116.605,116.525,116.525,43329,34261,685.5901
1772224200,116.52,116.62,116.52,116.6,130097,39253.35,685.67
1772224380,116.605,116.62,116.495,116.505,53690,40039.9,685.185
1772224560,116.51,116.52,116.38,116.39,67674,42314.55,684.55
1772224740,116.385,116.43,116.35,116.36,64878,44099.45,684.74
1772224920,116.37,116.51,116.37,116.415,55732,45765.7,685.03
1772225100,116.4136,116.495,116.395,116.41,122010,50417.45,685.05
