feature,scale_pct,ticker,n_total,n_near,n_far,kl_near_vs_far,kl_near_to_far,kl_far_to_near,cohens_d,abs_cohens_d,overlap,mann_whitney_p,rank_biserial_r,near_mean,near_std,near_median,far_mean,far_std,far_median,lift_max,lift_lo,lift_hi,prec_lo,prec_hi,base_rate,selectivity_5v3,is_significant,kl_near_vs_far_rank,abs_cohens_d_rank,lift_max_rank,overlap_inv_rank,composite_score
wave_slope,7,UNIVERSAL,91252,16805,56142,0.1946,0.2230,0.1662,-0.4464,0.4464,0.7625,0.0000,0.2061,-0.0624,0.4915,-0.0246,0.0855,0.2651,0.0878,3.2159,3.2159,1.7128,0.4872,0.2595,0.1842,0.0000,True,0.9246,0.9333,0.9855,0.9304,0.9432
wave_slope,5,UNIVERSAL,91252,25542,42298,0.1912,0.2228,0.1595,-0.4150,0.4150,0.7649,0.0000,0.2185,-0.0391,0.4525,-0.0083,0.1026,0.2520,0.1027,2.5886,2.5886,1.5597,0.6252,0.3767,0.2799,-0.2116,True,0.9217,0.9101,0.9188,0.9188,0.9175
conj_wave_tide,7,UNIVERSAL,91252,16805,56142,0.1788,0.2064,0.1513,-0.3875,0.3875,0.7688,0.0000,0.1941,-0.0916,0.4970,-0.0649,0.0390,0.2713,0.0356,3.1246,3.1246,1.8127,0.4745,0.2753,0.1842,0.0000,True,0.9014,0.8841,0.9797,0.9043,0.9172
vwap_sigma_current,7,UNIVERSAL,91252,16805,56142,0.1579,0.1744,0.1415,-0.5470,0.5470,0.7702,0.0000,0.2768,-0.0487,1.4787,-0.1374,0.6579,1.2304,0.8775,2.5934,2.5934,0.8910,0.4203,0.1444,0.1842,0.0000,True,0.8435,0.9739,0.9275,0.9014,0.9087
conj_wave_tide,5,UNIVERSAL,91252,25542,42298,0.1887,0.2198,0.1576,-0.3697,0.3697,0.7661,0.0000,0.2089,-0.0724,0.4604,-0.0535,0.0562,0.2570,0.0510,2.5277,2.5277,1.6355,0.6103,0.3949,0.2799,-0.1856,True,0.9130,0.8696,0.8957,0.9130,0.8978
vwap_sigma_tide,7,UNIVERSAL,91252,16805,56142,0.1490,0.1630,0.1351,-0.5746,0.5746,0.7777,0.0000,0.2858,0.2282,1.4526,0.3006,0.9408,1.1693,1.1612,2.6700,2.6700,0.8950,0.4433,0.1486,0.1842,0.0000,True,0.8087,0.9855,0.9420,0.8580,0.8961
vwap_sigma_current,5,UNIVERSAL,91252,25542,42298,0.1681,0.1809,0.1553,-0.5893,0.5893,0.7558,0.0000,0.3135,0.0178,1.4067,-0.0145,0.7767,1.2103,1.0325,1.9890,1.9890,0.7854,0.5179,0.2045,0.2799,-0.2232,True,0.8812,0.9913,0.7768,0.9449,0.8954
current_accel,5,UNIVERSAL,91252,25542,42298,0.1894,0.2233,0.1555,-0.3151,0.3151,0.7710,0.0000,0.2075,-0.0021,0.0155,-0.0025,0.0017,0.0089,0.0012,2.6448,2.6448,1.6837,0.6331,0.4030,0.2799,-0.1607,True,0.9188,0.8232,0.9362,0.8957,0.8946
d_current_slope,5,UNIVERSAL,91252,25542,42298,0.1892,0.2230,0.1554,-0.3150,0.3150,0.7712,0.0000,0.2075,-0.0021,0.0155,-0.0025,0.0017,0.0089,0.0012,2.6450,2.6450,1.6837,0.6331,0.4030,0.2799,-0.1606,True,0.9159,0.8203,0.9391,0.8928,0.8932
kf_conjugation_pred_val,7,UNIVERSAL,91252,16805,56142,0.1658,0.1889,0.1427,-0.3764,0.3764,0.7756,0.0000,0.1905,-0.0953,0.5270,-0.0692,0.0405,0.2931,0.0368,3.0140,3.0140,1.7663,0.4611,0.2702,0.1842,0.0000,True,0.8580,0.8754,0.9623,0.8638,0.8896
current_slope,7,UNIVERSAL,91252,16805,56142,0.1663,0.1940,0.1387,-0.3941,0.3941,0.7920,0.0000,0.1690,-0.0168,0.3045,0.0121,0.0644,0.1655,0.0641,3.1746,3.1746,1.7600,0.4835,0.2680,0.1842,0.0000,True,0.8609,0.8899,0.9826,0.8000,0.8864
tide_accel,7,UNIVERSAL,91252,16805,56142,0.1717,0.2022,0.1412,-0.3289,0.3289,0.7894,0.0000,0.1962,-0.0003,0.0018,-0.0003,0.0001,0.0012,0.0000,3.1159,3.1159,1.6498,0.4771,0.2526,0.1842,0.0000,True,0.8928,0.8348,0.9768,0.8087,0.8825
kf_conjugation_pred_val,5,UNIVERSAL,91252,25542,42298,0.1772,0.2051,0.1494,-0.3610,0.3610,0.7744,0.0000,0.2053,-0.0755,0.4890,-0.0566,0.0588,0.2787,0.0535,2.4615,2.4615,1.5761,0.5989,0.3835,0.2799,-0.1785,True,0.8986,0.8638,0.8783,0.8812,0.8813
