ticker,timestamp,tp_type,full_archetype,rc_signature,swing_magnitude,following_leg_pct,has_alert,alert_n_features,alert_anticipation,alert_top_features,has_break,break_n_features,break_top_features,cascade
AAPL,1993-07-19 13:30:00+00:00,MIN,LL,T(-)C(-)W(-),MAJOR,18.05,False,0,,,True,22,current_slope@1=-5.7|current_slope@0=-5.5|current_accel@0=-5.2|current_accel@1=-5.0|vwap_spread_current_wave@1=4.9,SWAN
AAPL,1993-08-04 13:30:00+00:00,MAX,LH,T(-)C(-)W(-),NORMAL,-12.4,True,74,8.0,current_slope@-3=-6.6|current_slope@-4=-6.4|current_slope@-5=-6.2|current_slope@-6=-6.0|current_slope@-7=-5.7,True,22,current_slope@1=-7.0|current_slope@0=-6.9|current_slope@-1=-6.8|vwap_spread_current_wave@1=6.0|vwap_spread_current_wave@0=6.0,A_TO_B
AAPL,1993-08-12 13:30:00+00:00,MIN,LL_TO_HL,T(-)C(-)W(-),NORMAL,7.55,True,86,10.0,current_slope@-3=-7.1|current_slope@-4=-7.1|current_slope@-5=-7.0|current_slope@-6=-6.9|current_slope@-7=-6.8,True,21,current_slope@0=-7.2|current_slope@1=-7.1|current_slope@-1=-7.1|vwap_spread_current_wave@1=6.4|vwap_spread_current_wave@0=6.4,A_TO_B
AAPL,1993-08-18 13:30:00+00:00,MAX,LH,T(-)C(-)W(-),MAJOR,-14.91,True,80,10.0,current_slope@-4=-7.2|current_slope@-3=-7.1|current_slope@-5=-7.1|current_slope@-6=-7.1|current_slope@-7=-7.1,True,21,current_slope@-1=-7.0|current_slope@0=-6.8|current_slope@1=-6.7|vwap_spread_current_wave@0=6.4|vwap_spread_current_wave@-1=6.4,A_TO_B
AAPL,1993-09-14 13:30:00+00:00,MIN,LL,T(-)C(-)W(-),MINOR,5.15,True,76,10.0,vwap_spread_current_wave@-10=6.1|vwap_spread_current_wave@-9=5.7|vwap_spread_current_wave@-8=5.2|current_slope@-10=-5.2|current_slope@-9=-5.1,True,20,current_slope@-1=-4.2|current_slope@0=-4.2|vwap_spread_tide_wave@1=4.2|vwap_spread_tide_wave@0=4.1|current_slope@1=-4.1,A_TO_B
AAPL,1993-09-22 13:30:00+00:00,MAX,LH,T(-)C(-)W(-),NORMAL,-11.27,True,77,10.0,current_slope@-10=-4.5|current_slope@-9=-4.4|current_slope@-8=-4.3|current_slope@-7=-4.2|vwap_spread_tide_wave@-3=4.2,True,21,vwap_spread_tide_wave@1=4.3|vwap_spread_tide_wave@0=4.3|vwap_spread_tide_wave@-1=4.2|current_slope@-1=-3.6|current_slope@0=-3.4,A_TO_B
AAPL,1993-10-08 13:30:00+00:00,MIN,LL,T(-)C(-)W(-),EXTREME,44.75,True,94,10.0,vwap_spread_tide_wave@-3=4.4|vwap_spread_tide_wave@-4=4.4|vwap_spread_tide_wave@-5=4.4|vwap_spread_tide_wave@-6=4.3|vwap_spread_tide_wave@-7=4.3,True,18,vwap_spread_tide_wave@1=4.4|vwap_spread_tide_wave@0=4.4|vwap_spread_tide_wave@-1=4.4|tide_slope@1=-3.9|tide_slope@0=-3.8,A_TO_B
AAPL,1993-11-02 14:30:00+00:00,MAX,HH,T(-)C(+)W(+),NORMAL,-8.02,True,70,10.0,vol_up_down_ratio@-9=7.0|vol_up_down_ratio@-8=6.6|vol_up_down_ratio@-10=6.3|current_accel@-3=4.6|current_accel@-4=4.4,True,12,current_accel@0=5.1|tide_slope@1=-4.3|tide_slope@0=-4.3|tide_slope@-1=-4.3|current_accel@-1=4.2,A_TO_B
AAPL,1993-11-09 14:30:00+00:00,MIN,LL_TO_HL,T(-)C(+)W(+),NORMAL,12.86,True,64,10.0,current_accel@-5=5.1|current_accel@-8=4.6|current_accel@-9=4.4|tide_slope@-3=-4.3|tide_slope@-4=-4.3,True,12,tide_slope@1=-4.3|tide_slope@0=-4.3|tide_slope@-1=-4.3|wave_slope@-1=3.8|wave_slope@0=3.8,A_TO_B
AAPL,1993-11-16 14:30:00+00:00,MAX,HH,T(-)C(+)W(+),MAJOR,-16.91,True,49,10.0,current_accel@-10=5.1|tide_slope@-3=-4.3|tide_slope@-4=-4.3|tide_slope@-5=-4.3|tide_slope@-6=-4.3,True,14,tide_slope@0=-4.4|tide_slope@1=-4.4|tide_slope@-1=-4.4|current_accel@0=4.2|current_accel@1=3.6,A_TO_B
