ticker,timestamp,tp_type,price,prev_leg_pct,next_leg_pct,prev_duration_days,next_duration_days,classification
AAPL,1992-09-14 13:30:00+00:00,MAX,0.441964,14.45,-12.37,21,25,FIRST_HIGH
AAPL,1992-10-09 13:30:00+00:00,MIN,0.387276,-12.37,34.29,25,41,FIRST_LOW
AAPL,1992-11-19 14:30:00+00:00,MAX,0.520089,34.29,-5.58,41,27,HIGHER_HIGH
AAPL,1992-12-16 14:30:00+00:00,MIN,0.491071,-5.58,18.18,27,29,HIGHER_LOW
AAPL,1993-01-14 14:30:00+00:00,MAX,0.580357,18.18,-18.46,29,33,HIGHER_HIGH
AAPL,1993-02-16 14:30:00+00:00,MIN,0.473214,-18.46,7.55,33,27,LOWER_LOW
AAPL,1993-03-15 14:30:00+00:00,MAX,0.508928,7.55,-17.11,27,30,LOWER_HIGH
AAPL,1993-04-15 13:30:00+00:00,MIN,0.421875,-17.11,24.34,30,35,LOWER_LOW
AAPL,1993-05-20 13:30:00+00:00,MAX,0.524553,24.34,-32.55,35,32,HIGHER_HIGH
AAPL,1993-06-21 13:30:00+00:00,MIN,0.353794,-32.55,5.36,32,3,LOWER_LOW
AAPL,1993-06-24 13:30:00+00:00,MAX,0.372767,5.36,-38.62,3,25,LOWER_HIGH
AAPL,1993-07-19 13:30:00+00:00,MIN,0.228794,-38.62,18.05,25,16,LOWER_LOW
AAPL,1993-08-04 13:30:00+00:00,MAX,0.270089,18.05,-12.4,16,8,LOWER_HIGH
AAPL,1993-08-12 13:30:00+00:00,MIN,0.236607,-12.4,7.55,8,6,HIGHER_LOW
AAPL,1993-08-18 13:30:00+00:00,MAX,0.254464,7.55,-14.91,6,27,LOWER_HIGH
AAPL,1993-09-14 13:30:00+00:00,MIN,0.216518,-14.91,5.15,27,8,LOWER_LOW
AAPL,1993-09-22 13:30:00+00:00,MAX,0.227678,5.15,-11.27,8,16,LOWER_HIGH
AAPL,1993-10-08 13:30:00+00:00,MIN,0.202009,-11.27,44.75,16,25,LOWER_LOW
AAPL,1993-11-02 14:30:00+00:00,MAX,0.29241,44.75,-8.02,25,7,HIGHER_HIGH
AAPL,1993-11-09 14:30:00+00:00,MIN,0.268973,-8.02,12.86,7,7,HIGHER_LOW
AAPL,1993-11-16 14:30:00+00:00,MAX,0.303571,12.86,-16.91,7,24,HIGHER_HIGH
AAPL,1993-12-10 14:30:00+00:00,MIN,0.252232,-16.91,5.31,24,5,LOWER_LOW
AAPL,1993-12-15 14:30:00+00:00,MAX,0.265625,5.31,-8.4,5,8,LOWER_HIGH
AAPL,1993-12-23 14:30:00+00:00,MIN,0.243303,-8.4,23.85,8,13,LOWER_LOW
AAPL,1994-01-05 14:30:00+00:00,MAX,0.301339,23.85,-13.33,13,14,HIGHER_HIGH
AAPL,1994-01-19 14:30:00+00:00,MIN,0.26116,-13.33,19.66,14,5,HIGHER_LOW
AAPL,1994-01-24 14:30:00+00:00,MAX,0.3125,19.66,-6.43,5,7,HIGHER_HIGH
AAPL,1994-01-31 14:30:00+00:00,MIN,0.29241,-6.43,16.41,7,42,HIGHER_LOW
AAPL,1994-03-14 14:30:00+00:00,MAX,0.340401,16.41,-25.9,42,36,HIGHER_HIGH
AAPL,1994-04-20 13:30:00+00:00,MIN,0.252232,-25.9,16.81,36,14,LOWER_LOW
AAPL,1994-05-04 13:30:00+00:00,MAX,0.294643,16.81,-10.98,14,13,LOWER_HIGH
AAPL,1994-05-17 13:30:00+00:00,MIN,0.262277,-10.98,9.36,13,2,HIGHER_LOW
AAPL,1994-05-19 13:30:00+00:00,MAX,0.28683,9.36,-18.68,2,20,LOWER_HIGH
AAPL,1994-06-08 13:30:00+00:00,MIN,0.233259,-18.68,6.46,20,7,LOWER_LOW
AAPL,1994-06-15 13:30:00+00:00,MAX,0.248326,6.46,-9.66,7,8,LOWER_HIGH
AAPL,1994-06-23 13:30:00+00:00,MIN,0.22433,-9.66,18.16,8,20,LOWER_LOW
AAPL,1994-07-13 13:30:00+00:00,MAX,0.265067,18.16,-10.32,20,7,HIGHER_HIGH
AAPL,1994-07-20 13:30:00+00:00,MIN,0.237723,-10.32,36.62,7,58,HIGHER_LOW
AAPL,1994-09-16 13:30:00+00:00,MAX,0.324776,36.62,-8.93,58,17,HIGHER_HIGH
AAPL,1994-10-03 13:30:00+00:00,MIN,0.295759,-8.93,27.17,17,9,HIGHER_LOW
AAPL,1994-10-12 13:30:00+00:00,MAX,0.376116,27.17,-5.64,9,5,HIGHER_HIGH
AAPL,1994-10-17 13:30:00+00:00,MIN,0.35491,-5.64,8.81,5,9,HIGHER_LOW
AAPL,1994-10-26 13:30:00+00:00,MAX,0.38616,8.81,-6.65,9,9,HIGHER_HIGH
AAPL,1994-11-04 14:30:00+00:00,MIN,0.360491,-6.65,5.26,9,10,HIGHER_LOW
