date,sector,price,s5_key,s5v_key,macro_cell,trend_triad,pivot_type,stereotype,days_to_pivot
1998-12-23,XLK,12.193625450134277,~|>|~|+,<|<|<|+,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1998-12-24,XLK,12.147171020507812,~|>|~|+,<<|<<|<<|-,P_HOT × V_COLD,UP|UP|UP,NONE,NONE,0
1998-12-28,XLK,12.182008743286133,~|>|~|-,<|<|<|+,P_HOT × V_COLD,UP|UP|UP,NONE,NONE,0
1998-12-29,XLK,12.216849327087402,~|>|~|-,<<|<<|<<|-,P_HOT × V_COLD,UP|UP|UP,NONE,NONE,0
1998-12-30,XLK,12.170394897460938,~|>|~|-,<<|<<|<|+,P_HOT × V_COLD,UP|UP|UP,NONE,NONE,0
1998-12-31,XLK,12.123947143554688,~|>|>|+,<<|<<|<|-,P_HOT × V_COLD,UP|UP|UP,NONE,NONE,0
1999-01-04,XLK,12.263301849365234,~|>|>|+,<|~|~|+,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-01-05,XLK,12.576850891113281,~|>|>|+,~|~|~|+,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-01-06,XLK,12.948460578918457,~|>|>>|+,~|~|>|+,P_HOT × V_HOT,UP|UP|UP,NONE,NONE,0
1999-01-07,XLK,12.907814979553223,~|>|>>|-,<|<|~|-,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-01-08,XLK,12.960077285766602,~|>|>|-,<|~|~|-,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-01-11,XLK,13.087820053100586,~|>|>>|+,<|<|<|-,P_HOT × V_NEUTRAL,UP|UP|DN,NONE,NONE,0
1999-01-12,XLK,12.733625411987305,~|>|>|-,<|<|~|+,P_HOT × V_NEUTRAL,UP|UP|DN,NONE,NONE,0
1999-01-13,XLK,12.72783088684082,~|>|>|-,~|~|>|+,P_HOT × V_HOT,UP|UP|DN,NONE,NONE,0
1999-01-14,XLK,12.553627967834473,~|>|~|-,<|~|~|-,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-01-15,XLK,12.925244331359863,~|>|>|+,<|~|~|-,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-01-19,XLK,13.372342109680176,~|>|>|-,~|~|~|+,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-01-20,XLK,13.494277000427246,~|>|~|-,~|~|~|+,P_HOT × V_NEUTRAL,UP|UP|DN,NONE,NONE,0
1999-01-21,XLK,13.145893096923828,~|>|~|-,<|<|~|-,P_HOT × V_NEUTRAL,UP|UP|DN,NONE,NONE,0
1999-01-22,XLK,12.913626670837402,~|>|~|-,<|<|<|-,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-01-25,XLK,13.1400785446167,~|>|~|+,<|<|<|-,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-01-26,XLK,13.668466567993164,~|~|~|-,<|<|<|-,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-01-27,XLK,13.378149032592773,~|~|~|+,<|<|<|+,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-01-28,XLK,13.848472595214844,~|>|~|+,<|<|<|-,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-01-29,XLK,14.051697731018066,~|>|~|-,<|<|<|+,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-02-01,XLK,14.063312530517578,~|>|~|+,<|<|<|-,P_HOT × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-02-02,XLK,13.82524585723877,~|~|~|-,<|<|<|+,P_HOT × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-02-03,XLK,13.92395305633545,~|~|~|+,<|<|<|-,P_HOT × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-02-04,XLK,13.447827339172363,~|~|~|-,<|<|<|+,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-02-05,XLK,13.122658729553223,~|~|<|-,~|~|~|+,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-02-08,XLK,13.343306541442871,~|~|<|+,<|~|~|-,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-02-09,XLK,12.820725440979004,~|~|<|-,<|~|<|-,P_NEUTRAL × V_NEUTRAL,DN|DN|UP,NONE,NONE,0
1999-02-10,XLK,12.913626670837402,~|~|<|-,~|~|<|-,P_NEUTRAL × V_NEUTRAL,DN|DN|UP,NONE,NONE,0
1999-02-11,XLK,13.459442138671875,~|~|~|+,~|<|~|+,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-02-12,XLK,12.925244331359863,~|~|<|-,<|<|<|-,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-02-16,XLK,12.86717700958252,~|~|<|+,<|<|<|-,P_NEUTRAL × V_COLD,DN|DN|DN,NONE,NONE,0
1999-02-17,XLK,12.576850891113281,~|<|<|-,<|<|<|+,P_NEUTRAL × V_NEUTRAL,DN|UP|UP,NONE,NONE,0
1999-02-18,XLK,12.646529197692871,~|<|<|-,<|~|~|+,P_NEUTRAL × V_NEUTRAL,DN|UP|UP,NONE,NONE,0
1999-02-19,XLK,12.76266098022461,~|<|<|+,<|<|<|-,P_NEUTRAL × V_COLD,DN|UP|UP,NONE,NONE,0
1999-02-22,XLK,13.21556568145752,~|~|~|+,<|<|<|+,P_NEUTRAL × V_COLD,DN|UP|UP,NONE,NONE,0
1999-02-23,XLK,13.38975715637207,~|~|~|-,<|<|<|+,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-02-24,XLK,13.018144607543945,~|~|~|-,<|<|<|+,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-02-25,XLK,13.052978515625,~|~|<|-,<|<|~|+,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-02-26,XLK,12.65814208984375,~|<|<|-,<|<|~|+,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-03-01,XLK,12.600074768066406,~|<|<|-,<|<|<|-,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-03-02,XLK,12.263301849365234,~|<|<|-,<|<|<|-,P_NEUTRAL × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-03-03,XLK,12.472338676452637,~|<|<|-,<|<|<|+,P_NEUTRAL × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-03-04,XLK,12.600074768066406,~|<|<|+,<|<|~|+,P_COLD × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-03-05,XLK,12.890398979187012,~|~|~|+,<|<|<|-,P_NEUTRAL × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-03-08,XLK,13.262016296386719,~|~|~|+,<|<|<|+,P_NEUTRAL × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-03-09,XLK,13.122658729553223,~|~|~|-,~|~|~|+,P_NEUTRAL × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-03-10,XLK,13.122658729553223,~|~|~|+,<|<|<|-,P_NEUTRAL × V_COLD,UP|UP|UP,NONE,NONE,0
1999-03-11,XLK,13.099443435668945,~|~|<|-,<|<|<|+,P_NEUTRAL × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-03-12,XLK,12.983307838439941,~|<|<|-,<|<|<|-,P_NEUTRAL × V_COLD,UP|UP|UP,NONE,NONE,0
1999-03-15,XLK,13.192340850830078,~|<|~|+,<|<|<|-,P_NEUTRAL × V_COLD,UP|UP|UP,NONE,NONE,0
1999-03-16,XLK,13.418789863586426,~|~|~|+,<|<|<|+,P_NEUTRAL × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-03-17,XLK,13.331698417663574,~|~|~|-,<<|<<|<|-,P_NEUTRAL × V_COLD,UP|UP|UP,NONE,NONE,0
1999-03-18,XLK,13.517499923706055,~|~|~|+,<|<|<|-,P_NEUTRAL × V_NEUTRAL,UP|DN|DN,NONE,NONE,0
1999-03-19,XLK,13.192340850830078,~|<|~|-,<|~|~|+,P_NEUTRAL × V_NEUTRAL,UP|DN|DN,NONE,NONE,0
1999-03-22,XLK,13.192340850830078,~|<|~|-,<<|<|<|-,P_NEUTRAL × V_COLD,UP|DN|DN,NONE,NONE,0
1999-03-23,XLK,12.809111595153809,~|<|<|-,<|<|<|+,P_NEUTRAL × V_COLD,UP|UP|UP,NONE,NONE,0
1999-03-24,XLK,13.05879020690918,~|<|<|+,<|<|<|-,P_NEUTRAL × V_COLD,UP|UP|UP,NONE,NONE,0
1999-03-25,XLK,13.366533279418945,~|<|~|+,<|<|<|+,P_NEUTRAL × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-03-26,XLK,13.296855926513672,~|<|~|-,<<|<|<|-,P_NEUTRAL × V_COLD,UP|UP|UP,NONE,NONE,0
1999-03-29,XLK,13.796216011047363,~|~|~|+,<<|<|<|+,P_NEUTRAL × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-03-30,XLK,13.77298641204834,~|~|~|-,<<|<<|<|-,P_NEUTRAL × V_COLD,UP|UP|UP,NONE,NONE,0
1999-03-31,XLK,13.598788261413574,~|~|~|+,<|<|<|+,P_NEUTRAL × V_COLD,UP|UP|UP,NONE,NONE,0
1999-04-01,XLK,13.813638687133789,~|~|~|-,<<|<|<|-,P_NEUTRAL × V_COLD,UP|UP|UP,NONE,NONE,0
1999-04-05,XLK,14.289767265319824,~|~|~|-,<|<|<|+,P_NEUTRAL × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-04-06,XLK,14.411705017089844,~|~|~|-,<|~|~|+,P_NEUTRAL × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-04-07,XLK,14.376866340637207,~|~|~|-,<|<|~|-,P_NEUTRAL × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-04-08,XLK,14.516214370727539,~|~|~|+,<|<|<|-,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-04-09,XLK,14.493000030517578,~|~|~|-,<|<|<|-,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-04-12,XLK,14.272350311279297,~|~|~|-,<|<|<|+,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-04-13,XLK,14.051697731018066,~|~|~|-,<|<|~|+,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-04-14,XLK,13.703310012817383,~|~|~|-,<|~|~|+,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-04-15,XLK,13.819440841674805,~|~|~|+,<|~|~|-,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-04-16,XLK,13.447827339172363,~|~|~|-,<|<|<|-,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-04-19,XLK,12.797497749328613,~|<|<|-,~|~|~|+,P_NEUTRAL × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-04-20,XLK,13.122658729553223,~|<|<|-,<|~|~|-,P_NEUTRAL × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-04-21,XLK,13.471048355102539,~|~|~|+,<|~|~|+,P_NEUTRAL × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-04-22,XLK,14.0923433303833,~|~|~|+,<|~|~|-,P_NEUTRAL × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-04-23,XLK,14.12137508392334,~|~|~|+,<|<|~|-,P_NEUTRAL × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-04-26,XLK,14.481380462646484,~|~|~|-,<|~|~|-,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-04-27,XLK,14.12137508392334,~|~|~|-,<|<|<|-,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-04-28,XLK,13.935571670532227,~|~|~|-,<|<|<|-,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-04-29,XLK,13.790409088134766,~|~|~|-,<|<|<|+,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-04-30,XLK,13.680084228515625,~|~|~|+,<|<|<|+,P_NEUTRAL × V_COLD,DN|DN|DN,NONE,NONE,0
1999-05-03,XLK,13.796216011047363,~|~|~|-,<|<<|<|-,P_NEUTRAL × V_COLD,DN|DN|DN,NONE,NONE,0
1999-05-04,XLK,13.58718204498291,~|~|~|-,<|<|<|+,P_NEUTRAL × V_COLD,DN|DN|DN,NONE,NONE,0
1999-05-05,XLK,13.865890502929688,~|~|~|+,<|<|<|+,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-05-06,XLK,13.517499923706055,~|~|~|-,<|<|<|-,P_NEUTRAL × V_NEUTRAL,DN|UP|UP,NONE,NONE,0
1999-05-07,XLK,13.749762535095215,~|~|~|+,<<|<<|<<|-,P_NEUTRAL × V_COLD,DN|UP|UP,NONE,NONE,0
1999-05-10,XLK,13.865890502929688,~|~|~|-,<<|<<|<|+,P_NEUTRAL × V_COLD,DN|UP|UP,NONE,NONE,0
1999-05-11,XLK,14.074929237365723,~|~|~|+,<|<|<|+,P_NEUTRAL × V_NEUTRAL,DN|UP|UP,NONE,NONE,0
1999-05-12,XLK,14.353639602661133,~|~|~|+,<|~|~|+,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-05-13,XLK,14.312990188598633,~|~|~|+,<|<|<|-,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-05-14,XLK,13.935571670532227,~|~|~|-,<|<|<|-,P_NEUTRAL × V_COLD,DN|DN|UP,NONE,NONE,0
1999-05-17,XLK,14.132989883422852,~|~|~|+,<<|<<|<<|-,P_NEUTRAL × V_COLD,DN|DN|UP,NONE,NONE,0
1999-05-18,XLK,14.260729789733887,~|~|~|-,<<|<|<|+,P_NEUTRAL × V_NEUTRAL,DN|DN|UP,NONE,NONE,0
1999-05-19,XLK,14.307177543640137,~|~|~|+,<|<|~|+,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-05-20,XLK,14.12137508392334,~|~|~|-,<|<|~|+,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-05-21,XLK,13.958793640136719,~|~|~|+,<<|<<|<|-,P_NEUTRAL × V_COLD,DN|DN|DN,NONE,NONE,0
1999-05-24,XLK,13.65685749053955,~|~|~|-,<<|<|~|+,P_NEUTRAL × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-05-25,XLK,13.372342109680176,~|~|<|-,<|<|~|+,P_NEUTRAL × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-05-26,XLK,13.651050567626953,~|~|<|+,<|<|~|-,P_NEUTRAL × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-05-27,XLK,13.552339553833008,~|~|~|+,<<|<|<|-,P_NEUTRAL × V_COLD,UP|UP|UP,NONE,NONE,0
1999-05-28,XLK,13.726534843444824,~|~|~|-,<<|<<|<|-,P_NEUTRAL × V_COLD,UP|UP|UP,NONE,NONE,0
1999-06-01,XLK,13.418789863586426,~|~|<|-,<<|<<|<|+,P_NEUTRAL × V_COLD,UP|UP|UP,NONE,NONE,0
1999-06-02,XLK,13.56395435333252,~|~|~|+,<<|<|<|+,P_NEUTRAL × V_COLD,UP|UP|UP,NONE,NONE,0
1999-06-03,XLK,13.471048355102539,~|~|<|-,<<|<<|<|-,P_NEUTRAL × V_COLD,UP|UP|UP,NONE,NONE,0
1999-06-04,XLK,13.871692657470703,~|~|~|+,<<|<|<|+,P_NEUTRAL × V_COLD,UP|UP|UP,NONE,NONE,0
1999-06-07,XLK,14.12137508392334,~|~|~|+,<<|<|<|+,P_NEUTRAL × V_COLD,UP|UP|DN,NONE,NONE,0
1999-06-08,XLK,13.796216011047363,~|~|~|-,<<|<|<|+,P_NEUTRAL × V_COLD,UP|UP|DN,NONE,NONE,0
1999-06-09,XLK,14.0052490234375,~|~|~|+,<<|<|<|-,P_HOT × V_COLD,UP|UP|DN,NONE,NONE,0
1999-06-10,XLK,13.796216011047363,~|~|~|-,<<|<|<|+,P_NEUTRAL × V_COLD,UP|UP|DN,NONE,NONE,0
1999-06-11,XLK,13.610408782958984,~|~|~|-,<<|<<|<|-,P_NEUTRAL × V_COLD,UP|UP|DN,NONE,NONE,0
1999-06-14,XLK,13.54653549194336,~|~|~|-,<<|<|<|+,P_NEUTRAL × V_COLD,UP|UP|UP,NONE,NONE,0
1999-06-15,XLK,13.668466567993164,~|~|~|+,<|<|~|+,P_NEUTRAL × V_COLD,UP|UP|UP,NONE,NONE,0
1999-06-16,XLK,14.23169994354248,~|~|~|+,<|<|~|+,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-06-17,XLK,14.388479232788086,~|~|~|+,<<|<|<|-,P_HOT × V_COLD,UP|UP|UP,NONE,NONE,0
1999-06-18,XLK,14.516214370727539,~|~|>|+,<|<|~|+,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-06-21,XLK,14.882033348083496,~|~|>|+,<<|<|<|-,P_HOT × V_NEUTRAL,UP|UP|DN,NONE,NONE,0
1999-06-22,XLK,14.568483352661133,~|~|~|-,<|<|<|-,P_HOT × V_COLD,UP|UP|DN,NONE,NONE,0
1999-06-23,XLK,14.678801536560059,~|~|>|+,<<|<|<|-,P_HOT × V_COLD,UP|UP|DN,NONE,NONE,0
1999-06-24,XLK,14.376866340637207,~|~|~|-,<|<|~|+,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-06-25,XLK,14.394280433654785,~|~|~|+,<<|<<|<|-,P_HOT × V_COLD,UP|UP|UP,NONE,NONE,0
1999-06-28,XLK,14.632342338562012,~|~|~|+,<<|<|<|+,P_HOT × V_COLD,UP|UP|UP,NONE,NONE,0
1999-06-29,XLK,14.81815242767334,~|>|>|+,<<|<|~|+,P_HOT × V_COLD,UP|UP|UP,NONE,NONE,0
1999-06-30,XLK,15.044617652893066,~|>|>|-,<|~|~|+,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-07-01,XLK,15.212995529174805,~|>|>|-,<<|<|<|-,P_HOT × V_COLD,UP|UP|UP,NONE,NONE,0
1999-07-02,XLK,15.410418510437012,~|>|>|-,<<|<|<|-,P_HOT × V_COLD,UP|UP|UP,NONE,NONE,0
1999-07-06,XLK,15.32331657409668,~|>|>|+,<<|<|<|+,P_HOT × V_COLD,UP|UP|UP,NONE,NONE,0
1999-07-07,XLK,15.503317832946777,~|>|>|-,<<|<|<|-,P_HOT × V_COLD,UP|UP|UP,NONE,NONE,0
1999-07-08,XLK,15.712358474731445,~|>|>|+,<|<|~|+,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-07-09,XLK,15.880741119384766,~|>|>|+,<<|<|<|-,P_HOT × V_COLD,UP|UP|UP,NONE,NONE,0
1999-07-12,XLK,15.903968811035156,~|>|>|-,<<|<|<|+,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-07-13,XLK,15.834290504455566,~|>|>|-,<<|<|<|-,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-07-14,XLK,16.03171157836914,~|>|>>|+,<|<|~|+,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-07-15,XLK,16.14784049987793,>|>|>>|-,<|~|~|+,P_HOT × V_NEUTRAL,UP|UP|UP,NONE,NONE,0
1999-07-16,XLK,16.29299545288086,>|>|>|-,<|<|~|-,P_HOT × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-07-19,XLK,16.0955810546875,>|>|>|-,<<|<|<|-,P_HOT × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-07-20,XLK,15.427840232849121,>|>|~|-,<|~|~|+,P_HOT × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-07-21,XLK,15.561384201049805,~|>|~|+,<<|<|<|-,P_HOT × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-07-22,XLK,15.079436302185059,~|>|<|-,<|~|~|+,P_HOT × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-07-23,XLK,15.120092391967773,~|>|~|+,<|<|<|-,P_HOT × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-07-26,XLK,14.777511596679688,~|~|<|-,<<|<|<|-,P_HOT × V_COLD,DN|DN|UP,NONE,NONE,0
1999-07-27,XLK,15.143320083618164,~|~|~|+,<|~|~|+,P_HOT × V_NEUTRAL,DN|DN|UP,NONE,NONE,0
1999-07-28,XLK,15.28267765045166,~|~|~|+,<|<|<|-,P_HOT × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
1999-07-29,XLK,15.027193069458008,~|~|<|-,<|~|~|+,P_HOT × V_NEUTRAL,DN|DN|DN,NONE,NONE,0
