ticker,date,trend,layer,pattern,sentiment,entry_price,price_3d,ret_3d,price_5d,ret_5d,price_10d,ret_10d
TSLA,2021-07-27,ALCISTA,MICRO (Daily),BEARISH_ENGULFING,BEARISH,215.15,229.07,6.47,236.58,9.96,236.66,10.0
TSLA,2021-07-28,ALCISTA,MICRO (Daily),DOJI,NEUTRAL,215.43,236.56,9.8,236.97,10.0,235.94,9.52
TSLA,2021-07-29,ALCISTA,MICRO (Daily),MORNING_STAR,BULLISH,224.87,236.58,5.21,238.21,5.93,240.75,7.06
TSLA,2021-07-29,ALCISTA,MACRO (Weekly),BULLISH_ENGULFING,BULLISH,224.87,236.58,5.21,238.21,5.93,240.75,7.06
TSLA,2021-07-29,ALCISTA,CONJUGATION,M[BULLISH_ENGULFING] + m[MORNING_STAR],BULLISH,224.87,236.58,5.21,238.21,5.93,240.75,7.06
TSLA,2021-08-02,ALCISTA,MACRO (Weekly),MORNING_STAR,BULLISH,240.39,238.21,-0.91,237.92,-1.03,228.72,-4.85
TSLA,2021-08-04,MUY_ALCISTA,MICRO (Daily),GRAVESTONE_DOJI,BEARISH,238.35,237.92,-0.18,235.94,-1.01,229.66,-3.64
TSLA,2021-08-06,MUY_ALCISTA,MACRO (Weekly),GRAVESTONE_DOJI,BEARISH,236.26,235.94,-0.14,239.06,1.18,226.75,-4.02
TSLA,2021-08-09,MUY_ALCISTA,MACRO (Weekly),TWEEZER_TOP,BEARISH,237.51,240.75,1.37,228.72,-3.7,235.43,-0.87
TSLA,2021-08-10,MUY_ALCISTA,MICRO (Daily),BEARISH_ENGULFING,BEARISH,237.2,239.06,0.78,221.9,-6.45,236.16,-0.44
TSLA,2021-08-10,MUY_ALCISTA,MACRO (Weekly),TWEEZER_TOP,BEARISH,237.2,239.06,0.78,221.9,-6.45,236.16,-0.44
TSLA,2021-08-10,MUY_ALCISTA,CONJUGATION,M[TWEEZER_TOP] + m[BEARISH_ENGULFING],BEARISH,237.2,239.06,0.78,221.9,-6.45,236.16,-0.44
TSLA,2021-08-12,MUY_ALCISTA,MICRO (Daily),BULLISH_ENGULFING,BULLISH,241.76,221.9,-8.21,224.49,-7.14,233.72,-3.32
TSLA,2021-08-12,MUY_ALCISTA,MACRO (Weekly),THREE_WHITE_SOLDIERS,BULLISH,241.76,221.9,-8.21,224.49,-7.14,233.72,-3.32
TSLA,2021-08-12,MUY_ALCISTA,CONJUGATION,M[THREE_WHITE_SOLDIERS] + m[BULLISH_ENGULFING],BULLISH,241.76,221.9,-8.21,224.49,-7.14,233.72,-3.32
TSLA,2021-08-13,MUY_ALCISTA,MACRO (Weekly),TWEEZER_BOTTOM,BULLISH,236.13,229.66,-2.74,226.75,-3.97,237.31,0.5
TSLA,2021-08-16,MUY_ALCISTA,MACRO (Weekly),EVENING_STAR,BEARISH,223.36,224.49,0.51,235.43,5.4,243.64,9.08
TSLA,2021-08-17,MUY_ALCISTA,MICRO (Daily),HANGING_MAN,BEARISH,222.37,226.75,1.97,236.16,6.2,245.24,10.28
TSLA,2021-08-17,MUY_ALCISTA,MACRO (Weekly),EVENING_STAR,BEARISH,222.37,226.75,1.97,236.16,6.2,245.24,10.28
TSLA,2021-08-17,MUY_ALCISTA,CONJUGATION,M[EVENING_STAR] + m[HANGING_MAN],BEARISH,222.37,226.75,1.97,236.16,6.2,245.24,10.28
TSLA,2021-08-19,MUY_ALCISTA,MACRO (Weekly),BEARISH_ENGULFING,BEARISH,227.0,236.16,4.04,233.72,2.96,244.13,7.55
TSLA,2021-08-23,MUY_ALCISTA,MACRO (Weekly),PIERCING_LINE,BULLISH,237.31,233.72,-1.51,243.64,2.66,250.97,5.76
TSLA,2021-08-25,MUY_ALCISTA,MICRO (Daily),BULLISH_ENGULFING,BULLISH,236.7,243.64,2.93,244.7,3.38,251.62,6.31
TSLA,2021-08-25,MUY_ALCISTA,MACRO (Weekly),BULLISH_ENGULFING,BULLISH,236.7,243.64,2.93,244.7,3.38,251.62,6.31
TSLA,2021-08-25,MUY_ALCISTA,CONJUGATION,M[BULLISH_ENGULFING] + m[BULLISH_ENGULFING],BULLISH,236.7,243.64,2.93,244.7,3.38,251.62,6.31
TSLA,2021-08-26,MUY_ALCISTA,MICRO (Daily),TWEEZER_TOP,BEARISH,234.57,245.24,4.55,244.13,4.08,245.42,4.63
TSLA,2021-08-30,MUY_ALCISTA,MICRO (Daily),BULLISH_MARUBOZU,BULLISH,244.8,244.13,-0.27,250.97,2.52,248.16,1.37
TSLA,2021-09-01,MUY_ALCISTA,MICRO (Daily),GRAVESTONE_DOJI,BEARISH,244.49,250.97,2.65,251.62,2.92,252.33,3.21
TSLA,2021-09-02,MUY_ALCISTA,MICRO (Daily),EVENING_STAR,BEARISH,243.76,251.29,3.09,245.42,0.68,253.16,3.86
TSLA,2021-09-03,MUY_ALCISTA,MICRO (Daily),HAMMER,BULLISH,247.36,251.62,1.72,247.67,0.12,243.39,-1.61
TSLA,2021-09-08,MUY_ALCISTA,MACRO (Weekly),THREE_WHITE_SOLDIERS,BULLISH,251.49,247.67,-1.52,251.94,0.18,250.65,-0.33
TSLA,2021-09-10,MUY_ALCISTA,MICRO (Daily),BEARISH_ENGULFING,BEARISH,245.54,251.94,2.61,253.16,3.11,258.13,5.13
TSLA,2021-09-13,MUY_ALCISTA,MACRO (Weekly),DOJI,NEUTRAL,246.92,252.33,2.19,243.39,-1.43,263.79,6.83
