ticker,archetype,feature,n_turns,det_rate,alert_rate,combined_rate,base_rate,lift,mean_z_at_turn
MRK,LL,kf_conj_pred_val,50,0.18,0.1,0.18,0.008,22.5,-1.0732261313275657
MRK,LL,vwap_sigma_current,50,0.32,0.22,0.36,0.018,20.0,-1.7773812094121864
MRK,LL,kf_price_pred_val,50,0.3,0.22,0.32,0.016,20.0,-2.0448850288910267
MRK,LL,conj_wave_tide,50,0.14,0.1,0.14,0.008,17.5,-1.046524246509727
MRK,LL,vwap_sigma_tide,50,0.24,0.12,0.24,0.014,17.142857142857142,-1.4262414514462327
MRK,LL,current_accel,50,0.24,0.12,0.26,0.016,16.25,-1.314259030899803
MRK,LL,kf_price_filt_vel,50,0.24,0.22,0.32,0.02,16.0,-1.4281420388016293
MRK,LL,rsi_value,50,0.38,0.24,0.38,0.024,15.833333333333334,-1.828305520006676
MRK,LL,vwap_sigma_wave,50,0.18,0.08,0.22,0.014,15.714285714285714,-1.6809364147364803
MRK,LL,sigma_tide,50,0.28,0.24,0.28,0.018,15.555555555555559,-1.4782306021722917
MRK,LL,kf_rsi_pred_val,50,0.3,0.22,0.32,0.024,13.333333333333334,-1.7456257393638743
MRK,LL,kf_price_innovation,50,0.18,0.22,0.32,0.028,11.428571428571429,-1.075422786682096
MRK,LL,sigma_wave,50,0.2,0.1,0.22,0.02,11.0,-1.2426265155755045
MRK,LL,sigma_current,50,0.24,0.14,0.26,0.028,9.285714285714286,-1.4098268344304035
MRK,LL,wave_slope,50,0.2,0.14,0.2,0.024,8.333333333333334,-1.2355828134680238
MRK,LL,vwap_spread_tide_wave,50,0.22,0.22,0.24,0.03,8.0,0.7637761055383419
MRK,LL,kf_rvol_pred_val,50,0.2,0.16,0.24,0.032,7.5,1.010945189603032
MRK,LL,wave_accel,50,0.16,0.12,0.22,0.03,7.333333333333334,-1.303451365533322
MRK,LL,tide_slope,50,0.22,0.22,0.22,0.036,6.111111111111112,-0.5172042788165045
MRK,LL,conj_wave_current,50,0.12,0.1,0.12,0.02,6.0,-0.6938529017323615
MRK,LL,vwap_spread_tide_current,50,0.18,0.16,0.18,0.03,6.0,0.5859004509046846
MRK,LL,kf_rvol_filt_vel,50,0.14,0.18,0.24,0.044,5.454545454545455,0.7408106417318718
MRK,LL,tide_accel,50,0.18,0.12,0.18,0.034,5.294117647058823,-1.1783669910032293
MRK,LL,kf_rsi_filt_vel,50,0.18,0.12,0.18,0.034,5.294117647058823,-1.0730392025821458
MRK,LL,tension_tide,50,0.06,0.08,0.08,0.016,5.0,-0.07223694461676526
MRK,LL,kf_tension_filt_vel,50,0.16,0.04,0.16,0.032,5.0,-0.6863801911967431
MRK,LL,kf_tension_pred_val,50,0.06,0.08,0.08,0.018,4.444444444444445,-0.07971593165728393
MRK,LL,vwap_spread_current_wave,50,0.14,0.12,0.14,0.032,4.375,0.973740292774504
MRK,LL,conj_current_tide,50,0.12,0.1,0.12,0.03,4.0,-0.7794667702268128
MRK,LL,current_slope,50,0.12,0.1,0.12,0.034,3.529411764705882,-1.0183292048708714
