ticker,archetype,feature,n_turns,det_rate,alert_rate,combined_rate,base_rate,lift,mean_z_at_turn
SPY,LL,sigma_tide,50,0.58,0.48,0.58,0.018,32.22222222222222,-2.1008425107014763
SPY,LL,kf_price_pred_val,50,0.42,0.4,0.56,0.018,31.111111111111118,-2.4128772261356257
SPY,LL,vwap_sigma_current,50,0.64,0.44,0.66,0.024,27.5,-2.1698686832708494
SPY,LL,kf_rsi_pred_val,50,0.44,0.3,0.46,0.02,23.0,-2.050195313673448
SPY,LL,rsi_value,50,0.48,0.36,0.48,0.024,20.0,-2.134320226051363
SPY,LL,vwap_sigma_tide,50,0.58,0.5,0.58,0.034,17.05882352941176,-2.1195411911261344
SPY,LL,wave_accel,50,0.32,0.28,0.36,0.022,16.363636363636363,-1.7226322287973743
SPY,LL,vwap_sigma_wave,50,0.34,0.24,0.42,0.026,16.153846153846153,-1.8664847809125755
SPY,LL,kf_price_filt_vel,50,0.22,0.36,0.42,0.026,16.153846153846153,-1.3806240512716101
SPY,LL,kf_price_innovation,50,0.16,0.36,0.42,0.026,16.153846153846153,-0.6782547309573959
SPY,LL,fear_level,50,0.34,0.34,0.34,0.022,15.454545454545457,1.3499031046900012
SPY,LL,wave_slope,50,0.38,0.34,0.4,0.028,14.285714285714286,-2.078045103922025
SPY,LL,kf_conj_filt_vel,50,0.28,0.18,0.3,0.024,12.5,-1.1711533133481498
SPY,LL,sigma_current,50,0.3,0.16,0.3,0.026,11.538461538461538,-1.5208986654086132
SPY,LL,tide_accel,50,0.44,0.34,0.44,0.042,10.476190476190476,-1.718205298821191
SPY,LL,sigma_wave,50,0.1,0.06,0.14,0.014,10.0,-1.1551376359575776
SPY,LL,conj_wave_tide,50,0.28,0.24,0.3,0.03,10.0,-1.8625876381315676
SPY,LL,kf_conj_pred_val,50,0.28,0.24,0.3,0.03,10.0,-1.8539115759516764
SPY,LL,kf_rvol_pred_val,50,0.14,0.18,0.2,0.024,8.333333333333334,0.8541194478661872
SPY,LL,current_accel,50,0.38,0.34,0.44,0.054,8.148148148148149,-2.0949335556867457
SPY,LL,tide_slope,50,0.14,0.14,0.14,0.018,7.7777777777777795,-0.6624245075945625
SPY,LL,conj_wave_current,50,0.22,0.2,0.24,0.032,7.5,-1.3480451457578517
SPY,LL,vwap_spread_tide_wave,50,0.22,0.2,0.22,0.032,6.875,1.22297370363829
SPY,LL,vwap_spread_current_wave,50,0.24,0.2,0.24,0.036,6.666666666666667,1.473144513073597
SPY,LL,conj_current_tide,50,0.14,0.14,0.14,0.026,5.384615384615385,-1.1028154204780707
SPY,LL,current_slope,50,0.2,0.2,0.2,0.042,4.761904761904762,-1.4057497368763194
SPY,LL,compression_ratio,50,0.2,0.14,0.2,0.042,4.761904761904762,0.826283119032152
SPY,LL,kf_rvol_filt_vel,50,0.0,0.12,0.12,0.034,3.529411764705882,0.3288387345539002
SPY,LL,tension_tide,50,0.16,0.1,0.18,0.052,3.4615384615384617,-0.24631054024841145
SPY,LL,tension_wave,50,0.02,0.04,0.06,0.018,3.3333333333333335,0.9323861032204563
SPY,LL,kf_rsi_filt_vel,50,0.08,0.02,0.1,0.03,3.3333333333333335,-1.0780981886044079
SPY,LL,kf_tension_pred_val,50,0.16,0.1,0.18,0.056,3.214285714285714,-0.2681406496933116
SPY,LL,vwap_spread_tide_current,50,0.1,0.1,0.1,0.032,3.125,0.860933077935907
SPY,LL,kf_tension_filt_vel,50,0.14,0.08,0.14,0.054,2.592592592592593,-0.8226567580535463
SPY,LL,tension_current,50,0.0,0.02,0.02,0.032,0.625,0.6239847597488657
SPY,HL,kf_price_pred_val,68,0.29411764705882354,0.2647058823529412,0.39705882352941174,0.018,22.058823529411764,-1.7547206487195144
SPY,HL,sigma_tide,68,0.36764705882352944,0.23529411764705882,0.36764705882352944,0.018,20.42483660130719,-1.2852543249467667
SPY,HL,kf_rsi_pred_val,68,0.3088235294117647,0.17647058823529413,0.3235294117647059,0.02,16.176470588235293,-1.766726865319408
SPY,HL,rsi_value,68,0.35294117647058826,0.16176470588235295,0.35294117647058826,0.024,14.705882352941178,-1.7671563945615296
SPY,HL,kf_rvol_pred_val,68,0.19117647058823528,0.27941176470588236,0.35294117647058826,0.024,14.705882352941178,1.0156407419538116
SPY,HL,vwap_sigma_wave,68,0.27941176470588236,0.23529411764705882,0.38235294117647056,0.026,14.705882352941176,-1.6731428746178825
SPY,HL,sigma_wave,68,0.11764705882352941,0.10294117647058823,0.19117647058823528,0.014,13.655462184873949,-1.1258738841993687
SPY,HL,sigma_current,68,0.27941176470588236,0.27941176470588236,0.35294117647058826,0.026,13.574660633484164,-1.6098035677174398
SPY,HL,vwap_sigma_current,68,0.3088235294117647,0.2647058823529412,0.3235294117647059,0.024,13.480392156862745,-1.6056692598325029
SPY,HL,kf_price_filt_vel,68,0.17647058823529413,0.2647058823529412,0.3382352941176471,0.026,13.009049773755658,-1.1405552265878738
SPY,HL,wave_accel,68,0.23529411764705882,0.19117647058823528,0.27941176470588236,0.022,12.70053475935829,-1.1956506652684844
SPY,HL,kf_conj_filt_vel,68,0.22058823529411764,0.20588235294117646,0.25,0.024,10.416666666666666,-0.907701953233622
SPY,HL,kf_rsi_filt_vel,68,0.22058823529411764,0.20588235294117646,0.29411764705882354,0.03,9.803921568627452,-1.3287632899872341
SPY,HL,kf_price_innovation,68,0.10294117647058823,0.23529411764705882,0.25,0.026,9.615384615384615,-0.5390508917782956
SPY,HL,kf_rvol_filt_vel,68,0.11764705882352941,0.22058823529411764,0.29411764705882354,0.034,8.650519031141869,0.44534010322859535
SPY,HL,conj_wave_current,68,0.19117647058823528,0.16176470588235295,0.22058823529411764,0.032,6.893382352941176,-0.8557834419257797
SPY,HL,conj_wave_tide,68,0.14705882352941177,0.19117647058823528,0.19117647058823528,0.03,6.372549019607843,-1.007700023917016
SPY,HL,kf_conj_pred_val,68,0.14705882352941177,0.16176470588235295,0.17647058823529413,0.03,5.882352941176471,-1.0351552862008826
SPY,HL,wave_slope,68,0.16176470588235295,0.14705882352941177,0.16176470588235295,0.028,5.777310924369748,-1.0807059828585026
SPY,HL,tide_slope,68,0.10294117647058823,0.10294117647058823,0.10294117647058823,0.018,5.718954248366013,-0.20832194827335412
SPY,HL,conj_current_tide,68,0.11764705882352941,0.1323529411764706,0.1323529411764706,0.026,5.090497737556562,-0.3750729200953787
SPY,HL,tension_tide,68,0.23529411764705882,0.16176470588235295,0.25,0.052,4.8076923076923075,-0.48195017217063146
