ticker,archetype,feature,n_turns,total_fires,fire_rate,tp,fp,precision,recall,turns_detected,mean_offset,median_offset,temporal_class
COST,LL,vwap_sigma_current,35,134,0.029155787641427327,37,97,0.27611940298507465,0.6,21,-0.6756756756756757,0.0,DETECTION
COST,LL,sigma_tide,35,156,0.033942558746736295,40,116,0.2564102564102564,0.5142857142857142,18,-0.8,-1.0,ALERTA
COST,LL,kf_rsi_pred_val,35,172,0.03742384682332463,29,143,0.1686046511627907,0.4,14,-0.8275862068965517,-1.0,ALERTA
COST,LL,rsi_value,35,185,0.04025239338555266,29,156,0.15675675675675677,0.42857142857142855,15,-0.7241379310344828,-1.0,ALERTA
COST,LL,vwap_sigma_tide,35,179,0.03894691035683203,27,152,0.15083798882681565,0.3142857142857143,11,-0.8888888888888888,-1.0,ALERTA
COST,LL,conj_wave_tide,35,209,0.04547432550043516,29,180,0.13875598086124402,0.3142857142857143,11,-0.9310344827586207,-1.0,ALERTA
COST,LL,kf_conj_pred_val,35,217,0.04721496953872933,30,187,0.1382488479262673,0.3142857142857143,11,-0.9333333333333333,-1.0,ALERTA
COST,LL,wave_slope,35,222,0.048302872062663184,30,192,0.13513513513513514,0.34285714285714286,12,-0.8666666666666667,-1.0,ALERTA
COST,LL,kf_price_pred_val,35,224,0.04873803307223673,27,197,0.12053571428571429,0.5142857142857142,18,-0.8888888888888888,-1.0,ALERTA
COST,LL,compression_ratio,35,153,0.03328981723237598,18,135,0.11764705882352941,0.2571428571428571,9,-1.0,-1.0,ALERTA
COST,LL,fear_level,35,140,0.030461270670147953,15,125,0.10714285714285714,0.14285714285714285,5,-1.0,-1.0,ALERTA
COST,LL,tide_accel,35,229,0.04982593559617058,23,206,0.10043668122270742,0.37142857142857144,13,-0.6956521739130435,-1.0,ALERTA
COST,LL,kf_rvol_pred_val,35,171,0.03720626631853786,17,154,0.09941520467836257,0.4,14,-0.8823529411764706,-1.0,ALERTA
COST,LL,sigma_current,35,176,0.038294168842471714,17,159,0.09659090909090909,0.2857142857142857,10,-0.7647058823529411,-1.0,ALERTA
COST,LL,kf_tension_pred_val,35,272,0.05918189730200174,26,246,0.09558823529411764,0.2857142857142857,10,-0.8846153846153846,-1.0,ALERTA
COST,LL,wave_accel,35,244,0.05308964316797215,23,221,0.0942622950819672,0.37142857142857144,13,-0.7391304347826086,-1.0,ALERTA
COST,LL,conj_wave_current,35,223,0.048520452567449954,21,202,0.09417040358744394,0.22857142857142856,8,-0.9047619047619048,-1.0,ALERTA
COST,LL,tension_tide,35,269,0.05852915578764143,24,245,0.08921933085501858,0.2857142857142857,10,-0.9166666666666666,-1.0,ALERTA
COST,LL,current_accel,35,223,0.048520452567449954,19,204,0.08520179372197309,0.2571428571428571,9,-0.7368421052631579,-1.0,ALERTA
COST,LL,kf_price_innovation,35,217,0.04721496953872933,18,199,0.08294930875576037,0.4,14,-1.0555555555555556,-1.0,ALERTA
COST,LL,vwap_sigma_wave,35,102,0.022193211488250653,8,94,0.0784313725490196,0.2,7,-0.75,-0.5,DETECTION
COST,LL,kf_rvol_filt_vel,35,203,0.044168842471714535,15,188,0.07389162561576355,0.34285714285714286,12,-0.8,-1.0,ALERTA
COST,LL,vwap_spread_current_wave,35,189,0.041122715404699736,13,176,0.06878306878306878,0.14285714285714285,5,-0.8461538461538461,-1.0,ALERTA
COST,LL,kf_price_filt_vel,35,205,0.044604003481288075,14,191,0.06829268292682927,0.34285714285714286,12,-1.0714285714285714,-1.0,ALERTA
