ticker,archetype,feature,n_turns,total_fires,fire_rate,tp,fp,precision,recall,turns_detected,mean_offset,median_offset,temporal_class
HD,LL,vwap_sigma_tide,59,102,0.0221883837285186,47,55,0.46078431372549017,0.3898305084745763,23,-0.8936170212765957,-1.0,ALERTA
HD,LL,vwap_sigma_current,59,117,0.025451381335653687,33,84,0.28205128205128205,0.3389830508474576,20,-0.7878787878787878,-1.0,ALERTA
HD,LL,fear_level,59,181,0.03937350445943006,42,139,0.23204419889502761,0.3050847457627119,18,-0.9761904761904762,-1.0,ALERTA
HD,LL,sigma_tide,59,152,0.03306504241896889,28,124,0.18421052631578946,0.2542372881355932,15,-0.6785714285714286,-0.5,DETECTION
HD,LL,vwap_sigma_wave,59,107,0.023276049597563627,18,89,0.16822429906542055,0.23728813559322035,14,-0.6111111111111112,0.0,DETECTION
HD,LL,kf_price_pred_val,59,213,0.04633456602131825,35,178,0.1643192488262911,0.4576271186440678,27,-0.8285714285714286,-1.0,ALERTA
HD,LL,rsi_value,59,162,0.035240374157058954,26,136,0.16049382716049382,0.2033898305084746,12,-0.8076923076923077,-1.0,ALERTA
HD,LL,sigma_current,59,143,0.03110724385468784,21,122,0.14685314685314685,0.22033898305084745,13,-0.8571428571428571,-1.0,ALERTA
HD,LL,wave_accel,59,184,0.04002610398085708,27,157,0.14673913043478262,0.3050847457627119,18,-0.6666666666666666,0.0,DETECTION
HD,LL,kf_rsi_pred_val,59,171,0.03719817272134,25,146,0.14619883040935672,0.2033898305084746,12,-0.8,-1.0,ALERTA
HD,LL,current_accel,59,259,0.05634109201653252,36,223,0.138996138996139,0.288135593220339,17,-0.9166666666666666,-1.0,ALERTA
HD,LL,wave_slope,59,226,0.04916249728083533,28,198,0.12389380530973451,0.2033898305084746,12,-0.8928571428571429,-1.0,ALERTA
HD,LL,kf_price_filt_vel,59,215,0.04676963236893626,26,189,0.12093023255813953,0.3728813559322034,22,-1.0384615384615385,-1.0,ALERTA
HD,LL,kf_price_innovation,59,232,0.05046769632368936,28,204,0.1206896551724138,0.288135593220339,17,-1.1071428571428572,-1.0,ALERTA
HD,LL,kf_conj_filt_vel,59,185,0.040243637154666084,22,163,0.11891891891891893,0.1694915254237288,10,-0.8636363636363636,-1.0,ALERTA
HD,LL,conj_wave_current,59,204,0.0443767674570372,24,180,0.11764705882352941,0.1694915254237288,10,-0.875,-1.0,ALERTA
HD,LL,conj_current_tide,59,212,0.046117032847509246,24,188,0.11320754716981132,0.15254237288135594,9,-1.0,-1.0,ALERTA
