ticker,archetype,feature,n_turns,total_fires,fire_rate,tp,fp,precision,recall,turns_detected,mean_offset,median_offset,temporal_class
IBM,LL,vwap_sigma_tide,48,135,0.029366978464215793,31,104,0.22962962962962963,0.2708333333333333,13,-0.9032258064516129,-1.0,ALERTA
IBM,LL,vwap_sigma_current,48,95,0.020665651511855558,21,74,0.22105263157894736,0.25,12,-0.7142857142857143,0.0,DETECTION
IBM,LL,vwap_sigma_wave,48,101,0.021970850554709594,21,80,0.2079207920792079,0.2916666666666667,14,-0.8095238095238095,-1.0,ALERTA
IBM,LL,kf_price_pred_val,48,236,0.051337829018925384,36,200,0.15254237288135594,0.5833333333333334,28,-0.6388888888888888,0.0,DETECTION
IBM,LL,sigma_tide,48,160,0.03480530780944094,23,137,0.14375,0.2708333333333333,13,-0.782608695652174,-1.0,ALERTA
IBM,LL,rsi_value,48,197,0.04285403524037416,27,170,0.13705583756345177,0.3125,15,-0.7037037037037037,0.0,DETECTION
IBM,LL,current_accel,48,273,0.0593865564498586,32,241,0.11721611721611722,0.2708333333333333,13,-0.9375,-1.0,ALERTA
IBM,LL,sigma_current,48,175,0.03806830541657603,19,156,0.10857142857142857,0.25,12,-0.5789473684210527,0.0,DETECTION
IBM,LL,tide_accel,48,216,0.04698716554274527,23,193,0.10648148148148148,0.22916666666666666,11,-0.8260869565217391,-1.0,ALERTA
IBM,LL,kf_rsi_pred_val,48,208,0.04524690015227322,21,187,0.10096153846153846,0.2916666666666667,14,-0.6190476190476191,0.0,DETECTION
IBM,LL,kf_price_filt_vel,48,240,0.05220796171416141,23,217,0.09583333333333334,0.3541666666666667,17,-1.0434782608695652,-1.0,ALERTA
IBM,LL,wave_accel,48,263,0.057211224711768545,23,240,0.08745247148288973,0.2708333333333333,13,-0.7391304347826086,-1.0,ALERTA
IBM,LL,wave_slope,48,213,0.04633456602131825,18,195,0.08450704225352113,0.14583333333333334,7,-1.0,-1.0,ALERTA
IBM,LL,kf_price_innovation,48,238,0.0517728953665434,20,218,0.08403361344537816,0.2708333333333333,13,-1.15,-1.0,ALERTA
IBM,LL,sigma_wave,48,165,0.03589297367848597,13,152,0.07878787878787878,0.1875,9,-0.9230769230769231,-1.0,ALERTA
IBM,LL,compression_ratio,48,191,0.041548836197520124,15,176,0.07853403141361257,0.10416666666666667,5,-1.0,-1.0,ALERTA
IBM,LL,vwap_spread_current_wave,48,240,0.05220796171416141,18,222,0.075,0.125,6,-1.0,-1.0,ALERTA
IBM,LL,kf_rvol_pred_val,48,187,0.0406787035022841,14,173,0.0748663101604278,0.1875,9,-1.0,-1.0,ALERTA
IBM,LL,kf_conj_filt_vel,48,266,0.05786382423319556,19,247,0.07142857142857142,0.16666666666666666,8,-0.9473684210526315,-1.0,ALERTA
IBM,LL,kf_tension_filt_vel,48,246,0.05351316075701545,17,229,0.06910569105691057,0.1875,9,-0.8235294117647058,-1.0,ALERTA
IBM,LL,current_slope,48,235,0.05112029584511638,16,219,0.06808510638297872,0.125,6,-1.0,-1.0,ALERTA
IBM,LL,conj_wave_current,48,225,0.04894496410702632,14,211,0.06222222222222222,0.10416666666666667,5,-0.9285714285714286,-1.0,ALERTA
IBM,LL,kf_rsi_filt_vel,48,212,0.046117032847509246,13,199,0.06132075471698113,0.20833333333333334,10,-0.7692307692307693,-1.0,ALERTA
IBM,LL,kf_conj_pred_val,48,266,0.05786382423319556,16,250,0.06015037593984962,0.125,6,-0.9375,-1.0,ALERTA
IBM,LL,conj_wave_tide,48,270,0.058733956928431585,15,255,0.05555555555555555,0.10416666666666667,5,-1.0,-1.0,ALERTA
IBM,LL,vwap_spread_tide_wave,48,200,0.04350663476180117,10,190,0.05,0.08333333333333333,4,-1.1,-1.0,ALERTA
IBM,LL,conj_current_tide,48,281,0.06112682184033065,13,268,0.046263345195729534,0.10416666666666667,5,-1.0769230769230769,-1.0,ALERTA
