ticker,archetype,feature,n_turns,total_fires,fire_rate,tp,fp,precision,recall,turns_detected,mean_offset,median_offset,temporal_class
PEP,LL,sigma_tide,27,179,0.03527093596059113,31,148,0.17318435754189945,0.6666666666666666,18,-0.5483870967741935,0.0,DETECTION
PEP,LL,vwap_sigma_tide,27,231,0.04551724137931035,40,191,0.17316017316017315,0.6666666666666666,18,-0.8,-1.0,ALERTA
PEP,LL,vwap_sigma_current,27,136,0.026798029556650248,20,116,0.14705882352941177,0.5185185185185185,14,-0.45,0.0,DETECTION
PEP,LL,kf_price_pred_val,27,219,0.04315270935960591,27,192,0.1232876712328767,0.6296296296296297,17,-0.8148148148148148,-1.0,ALERTA
PEP,LL,rsi_value,27,190,0.0374384236453202,21,169,0.11052631578947368,0.4444444444444444,12,-0.6190476190476191,0.0,DETECTION
PEP,LL,vwap_spread_current_wave,27,213,0.041970443349753694,21,192,0.09859154929577464,0.2962962962962963,8,-0.9047619047619048,-1.0,ALERTA
PEP,LL,compression_ratio,27,197,0.03881773399014778,19,178,0.09644670050761421,0.25925925925925924,7,-0.8947368421052632,-1.0,ALERTA
PEP,LL,kf_rsi_pred_val,27,198,0.03901477832512315,19,179,0.09595959595959595,0.37037037037037035,10,-0.7368421052631579,-1.0,ALERTA
PEP,LL,kf_price_filt_vel,27,238,0.04689655172413793,22,216,0.09243697478991597,0.5925925925925926,16,-0.7727272727272727,-1.0,ALERTA
PEP,LL,wave_slope,27,233,0.04591133004926108,21,212,0.09012875536480687,0.37037037037037035,10,-0.7619047619047619,-1.0,ALERTA
PEP,LL,current_accel,27,240,0.04729064039408867,21,219,0.0875,0.4074074074074074,11,-0.7619047619047619,-1.0,ALERTA
PEP,LL,kf_price_innovation,27,212,0.04177339901477833,18,194,0.08490566037735849,0.37037037037037035,10,-1.1111111111111112,-1.0,ALERTA
PEP,LL,conj_wave_tide,27,236,0.04650246305418719,20,216,0.0847457627118644,0.3333333333333333,9,-0.8,-1.0,ALERTA
PEP,LL,conj_wave_current,27,228,0.04492610837438424,19,209,0.08333333333333333,0.2962962962962963,8,-0.8421052631578947,-1.0,ALERTA
PEP,LL,sigma_current,27,163,0.03211822660098522,13,150,0.07975460122699386,0.25925925925925924,7,-0.6153846153846154,0.0,DETECTION
PEP,LL,wave_accel,27,254,0.05004926108374384,20,234,0.07874015748031496,0.48148148148148145,13,-0.65,0.0,DETECTION
PEP,LL,tide_accel,27,195,0.03842364532019704,15,180,0.07692307692307693,0.2962962962962963,8,-0.6,0.0,DETECTION
PEP,LL,kf_conj_pred_val,27,248,0.048866995073891625,19,229,0.07661290322580645,0.2962962962962963,8,-0.8421052631578947,-1.0,ALERTA
PEP,LL,vwap_spread_tide_wave,27,283,0.055763546798029556,21,262,0.07420494699646643,0.2962962962962963,8,-0.9047619047619048,-1.0,ALERTA
PEP,LL,fear_level,27,253,0.049852216748768476,18,235,0.07114624505928854,0.2222222222222222,6,-1.0,-1.0,ALERTA
PEP,LL,kf_conj_filt_vel,27,232,0.045714285714285714,16,216,0.06896551724137931,0.3333333333333333,9,-0.75,-0.5,DETECTION
PEP,LL,kf_rvol_pred_val,27,230,0.04532019704433497,13,217,0.05652173913043478,0.2962962962962963,8,-0.8461538461538461,-1.0,ALERTA
PEP,LL,tide_slope,27,268,0.05280788177339901,15,253,0.055970149253731345,0.18518518518518517,5,-1.0,-1.0,ALERTA
PEP,LL,kf_tension_filt_vel,27,234,0.046108374384236456,12,222,0.05128205128205128,0.25925925925925924,7,-0.75,-1.0,ALERTA
PEP,LL,vwap_spread_tide_current,27,222,0.04374384236453202,11,211,0.04954954954954955,0.14814814814814814,4,-0.9090909090909091,-1.0,ALERTA
PEP,LL,kf_rsi_filt_vel,27,239,0.0470935960591133,11,228,0.04602510460251046,0.2222222222222222,6,-0.8181818181818182,-1.0,ALERTA
PEP,LL,current_slope,27,222,0.04374384236453202,9,213,0.04054054054054054,0.1111111111111111,3,-1.0,-1.0,ALERTA
PEP,LL,kf_tension_pred_val,27,270,0.053201970443349754,8,262,0.02962962962962963,0.1111111111111111,3,-0.875,-1.0,ALERTA
PEP,LL,vwap_sigma_wave,27,107,0.02108374384236453,3,104,0.028037383177570093,0.07407407407407407,2,-0.6666666666666666,0.0,DETECTION
PEP,LL,kf_rvol_filt_vel,27,251,0.049458128078817734,7,244,0.027888446215139442,0.25925925925925924,7,-1.0,-1.0,ALERTA
PEP,LL,sigma_wave,27,76,0.01497536945812808,2,74,0.02631578947368421,0.07407407407407407,2,-1.0,-1.0,ALERTA
PEP,LL,tension_tide,27,264,0.052019704433497536,6,258,0.022727272727272728,0.1111111111111111,3,-0.6666666666666666,-0.5,DETECTION
PEP,LL,conj_current_tide,27,200,0.03940886699507389,3,197,0.015,0.037037037037037035,1,-1.0,-1.0,ALERTA
PEP,LL,tension_wave,27,77,0.015172413793103448,1,76,0.012987012987012988,0.037037037037037035,1,-2.0,-2.0,ALERTA
PEP,LL,tension_current,27,143,0.028177339901477833,1,142,0.006993006993006993,0.037037037037037035,1,-1.0,-1.0,ALERTA
PEP,HL,vwap_sigma_current,44,136,0.026798029556650248,16,120,0.11764705882352941,0.25,11,-0.75,-0.5,DETECTION
PEP,HL,kf_tension_filt_vel,44,234,0.046108374384236456,27,207,0.11538461538461539,0.36363636363636365,16,-1.0,-1.0,ALERTA
PEP,HL,sigma_current,44,163,0.03211822660098522,18,145,0.11042944785276074,0.29545454545454547,13,-0.7777777777777778,-0.5,DETECTION
PEP,HL,tension_tide,44,264,0.052019704433497536,24,240,0.09090909090909091,0.22727272727272727,10,-0.9166666666666666,-1.0,ALERTA
