ticker,archetype,feature,n_turns,total_fires,fire_rate,tp,fp,precision,recall,turns_detected,mean_offset,median_offset,temporal_class
SPY,LL,sigma_tide,50,309,0.039302976341897736,66,243,0.21359223300970873,0.58,29,-0.7878787878787878,-1.0,ALERTA
SPY,LL,rsi_value,50,281,0.03574154159247011,53,228,0.18861209964412812,0.48,24,-0.7735849056603774,-1.0,ALERTA
SPY,LL,vwap_sigma_tide,50,398,0.05062325108114984,75,323,0.1884422110552764,0.58,29,-0.9066666666666666,-1.0,ALERTA
SPY,LL,vwap_sigma_current,50,331,0.0421012465021623,62,269,0.18731117824773413,0.66,33,-0.7096774193548387,-0.5,DETECTION
SPY,LL,kf_rsi_pred_val,50,288,0.03663190027982702,46,242,0.1597222222222222,0.46,23,-0.7391304347826086,-1.0,ALERTA
SPY,LL,fear_level,50,373,0.04744339862630374,48,325,0.128686327077748,0.34,17,-0.9583333333333334,-1.0,ALERTA
SPY,LL,wave_slope,50,397,0.05049605698295599,50,347,0.12594458438287154,0.4,20,-0.92,-1.0,ALERTA
SPY,LL,vwap_sigma_wave,50,249,0.031671330450267106,30,219,0.12048192771084337,0.42,21,-0.6333333333333333,0.0,DETECTION
SPY,LL,tide_accel,50,450,0.05723734418722971,49,401,0.10888888888888888,0.44,22,-0.7755102040816326,-1.0,ALERTA
SPY,LL,kf_price_pred_val,50,407,0.05176799796489443,44,363,0.10810810810810811,0.56,28,-0.7272727272727273,-1.0,ALERTA
SPY,LL,current_accel,50,449,0.05711015008903587,48,401,0.10690423162583519,0.44,22,-0.8958333333333334,-1.0,ALERTA
SPY,LL,sigma_current,50,255,0.03243449503943017,27,228,0.10588235294117647,0.3,15,-0.6296296296296297,0.0,DETECTION
SPY,LL,conj_wave_tide,50,393,0.049987280590180615,36,357,0.0916030534351145,0.3,15,-0.8888888888888888,-1.0,ALERTA
SPY,LL,kf_price_innovation,50,347,0.0441363520732638,31,316,0.0893371757925072,0.42,21,-1.032258064516129,-1.0,ALERTA
SPY,LL,wave_accel,50,397,0.05049605698295599,35,362,0.08816120906801007,0.36,18,-0.8,-1.0,ALERTA
SPY,LL,kf_conj_pred_val,50,406,0.051640803866700585,35,371,0.08620689655172414,0.3,15,-0.8857142857142857,-1.0,ALERTA
SPY,LL,vwap_spread_current_wave,50,398,0.05062325108114984,31,367,0.07788944723618091,0.24,12,-0.9032258064516129,-1.0,ALERTA
SPY,LL,kf_price_filt_vel,50,395,0.0502416687865683,30,365,0.0759493670886076,0.42,21,-0.9333333333333333,-1.0,ALERTA
SPY,LL,kf_rvol_pred_val,50,271,0.03446960061053167,20,251,0.07380073800738007,0.2,10,-1.0,-1.0,ALERTA
SPY,LL,vwap_spread_tide_wave,50,429,0.054566268125158995,31,398,0.07226107226107226,0.22,11,-0.967741935483871,-1.0,ALERTA
SPY,LL,current_slope,50,393,0.049987280590180615,28,365,0.07124681933842239,0.2,10,-0.9285714285714286,-1.0,ALERTA
SPY,LL,kf_conj_filt_vel,50,410,0.05214958025947596,29,381,0.07073170731707316,0.3,15,-0.7586206896551724,-1.0,ALERTA
SPY,LL,conj_wave_current,50,404,0.0513864156703129,28,376,0.06930693069306931,0.24,12,-0.8928571428571429,-1.0,ALERTA
SPY,LL,tide_slope,50,314,0.03993894683286695,20,294,0.06369426751592357,0.14,7,-0.95,-1.0,ALERTA
SPY,LL,compression_ratio,50,337,0.04286441109132536,21,316,0.06231454005934718,0.2,10,-0.7142857142857143,-1.0,ALERTA
SPY,LL,conj_current_tide,50,369,0.046934622233528366,20,349,0.05420054200542006,0.14,7,-0.95,-1.0,ALERTA
SPY,LL,vwap_spread_tide_current,50,358,0.04553548715339608,15,343,0.04189944134078212,0.1,5,-1.0,-1.0,ALERTA
SPY,LL,kf_tension_pred_val,50,456,0.058000508776392776,15,441,0.03289473684210526,0.18,9,-0.7333333333333333,0.0,DETECTION
SPY,LL,sigma_wave,50,219,0.027855507504451794,7,212,0.0319634703196347,0.14,7,-0.5714285714285714,0.0,DETECTION
SPY,LL,tension_tide,50,447,0.05685576189264818,14,433,0.03131991051454139,0.18,9,-0.6428571428571429,0.0,DETECTION
SPY,LL,kf_tension_filt_vel,50,460,0.05850928516916815,13,447,0.02826086956521739,0.14,7,-0.6923076923076923,0.0,DETECTION
SPY,LL,kf_rvol_filt_vel,50,293,0.037267870770796234,6,287,0.020477815699658702,0.12,6,-1.6666666666666667,-2.0,ALERTA
SPY,LL,kf_rsi_filt_vel,50,323,0.04108369371661155,6,317,0.018575851393188854,0.1,5,-0.5,0.0,DETECTION
SPY,LL,tension_wave,50,220,0.027982701602645637,3,217,0.013636363636363636,0.06,3,-1.0,-1.0,ALERTA
SPY,LL,tension_current,50,347,0.0441363520732638,1,346,0.002881844380403458,0.02,1,-2.0,-2.0,ALERTA
SPY,HL,sigma_current,68,255,0.03243449503943017,43,212,0.16862745098039217,0.35294117647058826,24,-0.9302325581395349,-1.0,ALERTA
SPY,HL,sigma_tide,68,309,0.039302976341897736,51,258,0.1650485436893204,0.36764705882352944,25,-0.7058823529411765,-1.0,ALERTA
SPY,HL,vwap_sigma_current,68,331,0.0421012465021623,48,283,0.14501510574018128,0.3235294117647059,22,-0.7708333333333334,-1.0,ALERTA
SPY,HL,vwap_sigma_wave,68,249,0.031671330450267106,36,213,0.14457831325301204,0.38235294117647056,26,-0.75,-0.5,DETECTION
