ticker,timestamp,tp_type,price,archetype,is_reversal,preceding_leg_pct,following_leg_pct,preceding_days,following_days,swing_magnitude,rc_signature,full_archetype
AAPL,1992-08-24 13:30:00+00:00,MIN,0.38616,LL,True,0.0,14.45,0,21,NORMAL,UNKNOWN,LL
AAPL,1992-09-14 13:30:00+00:00,MAX,0.441964,HH,True,14.45,-12.37,21,25,NORMAL,UNKNOWN,HH
AAPL,1992-10-09 13:30:00+00:00,MIN,0.387276,HL,True,-12.37,34.29,25,41,EXTREME,UNKNOWN,LL_TO_HL
AAPL,1992-11-19 14:30:00+00:00,MAX,0.520089,HH,True,34.29,-5.58,41,27,MINOR,UNKNOWN,HH
AAPL,1992-12-16 14:30:00+00:00,MIN,0.491071,HL,True,-5.58,18.18,27,29,MAJOR,UNKNOWN,HL
AAPL,1993-01-14 14:30:00+00:00,MAX,0.580357,HH,True,18.18,-18.46,29,33,MAJOR,UNKNOWN,HH
AAPL,1993-02-16 14:30:00+00:00,MIN,0.473214,LL,True,-18.46,7.55,33,27,NORMAL,UNKNOWN,LL
AAPL,1993-03-15 14:30:00+00:00,MAX,0.508928,LH,True,7.55,-17.11,27,30,MAJOR,UNKNOWN,HH_TO_LH
AAPL,1993-04-15 13:30:00+00:00,MIN,0.421875,LL,True,-17.11,24.34,30,35,MAJOR,UNKNOWN,LL
AAPL,1993-05-20 13:30:00+00:00,MAX,0.524553,HH,True,24.34,-32.55,35,32,EXTREME,UNKNOWN,HH
AAPL,1993-06-21 13:30:00+00:00,MIN,0.353794,LL,True,-32.55,5.36,32,3,MINOR,UNKNOWN,LL
AAPL,1993-06-24 13:30:00+00:00,MAX,0.372767,LH,True,5.36,-38.62,3,25,EXTREME,UNKNOWN,HH_TO_LH
AAPL,1993-07-19 13:30:00+00:00,MIN,0.228794,LL,True,-38.62,18.05,25,16,MAJOR,T(-)C(-)W(-),LL
AAPL,1993-08-04 13:30:00+00:00,MAX,0.270089,LH,True,18.05,-12.4,16,8,NORMAL,T(-)C(-)W(-),LH
AAPL,1993-08-12 13:30:00+00:00,MIN,0.236607,HL,True,-12.4,7.55,8,6,NORMAL,T(-)C(-)W(-),LL_TO_HL
AAPL,1993-08-18 13:30:00+00:00,MAX,0.254464,LH,True,7.55,-14.91,6,27,NORMAL,T(-)C(-)W(-),LH
AAPL,1993-09-14 13:30:00+00:00,MIN,0.216518,LL,True,-14.91,5.15,27,8,MINOR,T(-)C(-)W(-),LL
AAPL,1993-09-22 13:30:00+00:00,MAX,0.227678,LH,True,5.15,-11.27,8,16,NORMAL,T(-)C(-)W(-),LH
AAPL,1993-10-08 13:30:00+00:00,MIN,0.202009,LL,True,-11.27,44.75,16,25,EXTREME,T(-)C(-)W(-),LL
AAPL,1993-11-02 14:30:00+00:00,MAX,0.29241,HH,True,44.75,-8.02,25,7,NORMAL,T(-)C(+)W(+),HH
AAPL,1993-11-09 14:30:00+00:00,MIN,0.268973,HL,True,-8.02,12.86,7,7,NORMAL,T(-)C(+)W(+),LL_TO_HL
AAPL,1993-11-16 14:30:00+00:00,MAX,0.303571,HH,True,12.86,-16.91,7,24,MAJOR,T(-)C(+)W(+),HH
AAPL,1993-12-10 14:30:00+00:00,MIN,0.252232,LL,True,-16.91,5.31,24,5,MINOR,T(-)C(+)W(-),LL
AAPL,1993-12-15 14:30:00+00:00,MAX,0.265625,LH,True,5.31,-8.4,5,8,NORMAL,T(-)C(+)W(-),HH_TO_LH
AAPL,1993-12-23 14:30:00+00:00,MIN,0.243303,LL,True,-8.4,23.85,8,13,MAJOR,T(-)C(+)W(-),LL
AAPL,1994-01-05 14:30:00+00:00,MAX,0.301339,HH,True,23.85,-13.33,13,14,NORMAL,T(-)C(+)W(-),HH
AAPL,1994-01-19 14:30:00+00:00,MIN,0.26116,HL,True,-13.33,19.66,14,5,MAJOR,T(-)C(-)W(+),LL_TO_HL
AAPL,1994-01-24 14:30:00+00:00,MAX,0.3125,HH,True,19.66,-6.43,5,7,MINOR,T(-)C(-)W(+),HH
AAPL,1994-01-31 14:30:00+00:00,MIN,0.29241,HL,True,-6.43,16.41,7,42,MAJOR,T(-)C(+)W(+),HL
AAPL,1994-03-14 14:30:00+00:00,MAX,0.340401,HH,True,16.41,-25.9,42,36,MAJOR,T(-)C(+)W(+),HH
AAPL,1994-04-20 13:30:00+00:00,MIN,0.252232,LL,True,-25.9,16.81,36,14,MAJOR,T(-)C(-)W(-),LL
AAPL,1994-05-04 13:30:00+00:00,MAX,0.294643,LH,True,16.81,-10.98,14,13,NORMAL,T(-)C(-)W(-),HH_TO_LH
AAPL,1994-05-17 13:30:00+00:00,MIN,0.262277,HL,True,-10.98,9.36,13,2,NORMAL,T(+)C(-)W(-),LL_TO_HL
AAPL,1994-05-19 13:30:00+00:00,MAX,0.28683,LH,True,9.36,-18.68,2,20,MAJOR,T(+)C(-)W(-),LH
AAPL,1994-06-08 13:30:00+00:00,MIN,0.233259,LL,True,-18.68,6.46,20,7,MINOR,T(+)C(-)W(-),LL
AAPL,1994-06-15 13:30:00+00:00,MAX,0.248326,LH,True,6.46,-9.66,7,8,NORMAL,T(+)C(-)W(-),LH
AAPL,1994-06-23 13:30:00+00:00,MIN,0.22433,LL,True,-9.66,18.16,8,20,MAJOR,T(+)C(-)W(-),LL
AAPL,1994-07-13 13:30:00+00:00,MAX,0.265067,HH,True,18.16,-10.32,20,7,NORMAL,T(+)C(-)W(-),HH
AAPL,1994-07-20 13:30:00+00:00,MIN,0.237723,HL,True,-10.32,36.62,7,58,EXTREME,T(+)C(-)W(+),LL_TO_HL
AAPL,1994-09-16 13:30:00+00:00,MAX,0.324776,HH,True,36.62,-8.93,58,17,NORMAL,T(+)C(+)W(+),HH
AAPL,1994-10-03 13:30:00+00:00,MIN,0.295759,HL,True,-8.93,27.17,17,9,MAJOR,T(+)C(+)W(-),HL
AAPL,1994-10-12 13:30:00+00:00,MAX,0.376116,HH,True,27.17,-5.64,9,5,MINOR,T(+)C(+)W(+),HH
AAPL,1994-10-17 13:30:00+00:00,MIN,0.35491,HL,True,-5.64,8.81,5,9,NORMAL,T(+)C(+)W(+),HL
AAPL,1994-10-26 13:30:00+00:00,MAX,0.38616,HH,True,8.81,-6.65,9,9,MINOR,T(+)C(+)W(+),HH
AAPL,1994-11-04 14:30:00+00:00,MIN,0.360491,HL,True,-6.65,5.26,9,10,MINOR,T(+)C(+)W(+),HL
AAPL,1994-11-14 14:30:00+00:00,MAX,0.379464,LH,True,5.26,-15.59,10,24,MAJOR,T(+)C(+)W(+),HH_TO_LH
AAPL,1994-12-08 14:30:00+00:00,MIN,0.320312,LL,True,-15.59,30.31,24,34,EXTREME,T(+)C(+)W(-),LL
AAPL,1995-01-11 14:30:00+00:00,MAX,0.41741,HH,True,30.31,-15.51,34,15,MAJOR,T(+)C(-)W(+),HH
AAPL,1995-01-26 14:30:00+00:00,MIN,0.352678,HL,True,-15.51,10.76,15,15,NORMAL,T(+)C(+)W(+),LL_TO_HL
AAPL,1995-02-10 14:30:00+00:00,MAX,0.390625,LH,True,10.76,-12.57,15,17,NORMAL,T(+)C(+)W(-),HH_TO_LH
AAPL,1995-02-27 14:30:00+00:00,MIN,0.341518,LL,True,-12.57,5.23,17,4,MINOR,T(+)C(+)W(-),LL
AAPL,1995-03-03 14:30:00+00:00,MAX,0.359375,LH,True,5.23,-13.04,4,11,NORMAL,T(+)C(+)W(-),LH
AAPL,1995-03-14 14:30:00+00:00,MIN,0.3125,LL,True,-13.04,8.75,11,8,NORMAL,T(+)C(-)W(-),LL
AAPL,1995-03-22 14:30:00+00:00,MAX,0.339843,LH,True,8.75,-11.0,8,12,NORMAL,T(+)C(-)W(-),LH
AAPL,1995-04-04 13:30:00+00:00,MIN,0.302455,LL,True,-11.0,15.13,12,8,MAJOR,T(+)C(-)W(-),LL
AAPL,1995-04-12 13:30:00+00:00,MAX,0.348214,HH,True,15.13,-6.73,8,7,MINOR,T(+)C(-)W(-),HH
AAPL,1995-04-19 13:30:00+00:00,MIN,0.324776,HL,True,-6.73,21.31,7,33,MAJOR,T(+)C(-)W(-),LL_TO_HL
AAPL,1995-05-22 13:30:00+00:00,MAX,0.393973,HH,True,21.31,-5.81,33,9,MINOR,T(+)C(+)W(+),HH
AAPL,1995-05-31 13:30:00+00:00,MIN,0.371093,HL,True,-5.81,18.8,9,21,MAJOR,T(+)C(+)W(+),HL
AAPL,1995-06-21 13:30:00+00:00,MAX,0.440848,HH,True,18.8,-6.08,21,6,MINOR,T(+)C(+)W(+),HH
AAPL,1995-06-27 13:30:00+00:00,MIN,0.414062,HL,True,-6.08,5.66,6,20,MINOR,T(+)C(+)W(+),HL
AAPL,1995-07-17 13:30:00+00:00,MAX,0.4375,LH,True,5.66,-10.71,20,4,NORMAL,T(+)C(+)W(+),HH_TO_LH
AAPL,1995-07-21 13:30:00+00:00,MIN,0.390625,LL,True,-10.71,7.0,4,6,MINOR,T(+)C(+)W(+),LL
AAPL,1995-07-27 13:30:00+00:00,MAX,0.417968,LH,True,7.0,-9.21,6,12,NORMAL,T(+)C(+)W(-),LH
AAPL,1995-08-08 13:30:00+00:00,MIN,0.379464,LL,True,-9.21,7.65,12,16,NORMAL,T(+)C(+)W(-),LL
AAPL,1995-08-24 13:30:00+00:00,MAX,0.408482,LH,True,7.65,-21.58,16,22,MAJOR,T(+)C(-)W(-),LH
AAPL,1995-09-15 13:30:00+00:00,MIN,0.320312,LL,True,-21.58,5.23,22,13,MINOR,T(+)C(-)W(-),LL
AAPL,1995-09-28 13:30:00+00:00,MAX,0.337053,LH,True,5.23,-8.11,13,12,NORMAL,T(+)C(-)W(-),LH
AAPL,1995-10-10 13:30:00+00:00,MIN,0.30971,LL,True,-8.11,7.75,12,8,NORMAL,T(+)C(-)W(-),LL
AAPL,1995-10-18 13:30:00+00:00,MAX,0.333705,LH,True,7.75,-7.02,8,1,NORMAL,T(+)C(-)W(-),LH
AAPL,1995-10-19 13:30:00+00:00,MIN,0.310268,HL,True,-7.02,19.42,1,26,MAJOR,T(+)C(-)W(-),LL_TO_HL
AAPL,1995-11-14 14:30:00+00:00,MAX,0.370535,HH,True,19.42,-23.95,26,51,MAJOR,T(+)C(-)W(+),HH
AAPL,1996-01-04 14:30:00+00:00,MIN,0.281808,LL,True,-23.95,9.7,51,4,NORMAL,T(-)C(-)W(-),LL
AAPL,1996-01-08 14:30:00+00:00,MAX,0.309151,LH,True,9.7,-5.42,4,1,MINOR,T(-)C(-)W(-),HH_TO_LH
AAPL,1996-01-09 14:30:00+00:00,MIN,0.29241,HL,True,-5.42,6.87,1,2,MINOR,T(-)C(-)W(-),LL_TO_HL
AAPL,1996-01-11 14:30:00+00:00,MAX,0.3125,HH,True,6.87,-14.64,2,8,NORMAL,T(-)C(-)W(-),HH
AAPL,1996-01-19 14:30:00+00:00,MIN,0.266741,LL,True,-14.64,7.95,8,5,NORMAL,T(-)C(-)W(-),LL
AAPL,1996-01-24 14:30:00+00:00,MAX,0.287946,LH,True,7.95,-15.31,5,6,MAJOR,T(-)C(-)W(-),HH_TO_LH
AAPL,1996-01-30 14:30:00+00:00,MIN,0.243861,LL,True,-15.31,8.47,6,7,NORMAL,T(-)C(-)W(-),LL
AAPL,1996-02-06 14:30:00+00:00,MAX,0.264509,LH,True,8.47,-7.17,7,10,NORMAL,T(-)C(-)W(-),LH
AAPL,1996-02-16 14:30:00+00:00,MIN,0.245535,HL,True,-7.17,8.64,10,6,NORMAL,T(-)C(-)W(-),LL_TO_HL
AAPL,1996-02-22 14:30:00+00:00,MAX,0.266741,HH,True,8.64,-20.08,6,33,MAJOR,T(-)C(-)W(-),HH
AAPL,1996-03-26 14:30:00+00:00,MIN,0.213169,LL,True,-20.08,6.81,33,6,MINOR,T(-)C(-)W(-),LL
AAPL,1996-04-01 14:30:00+00:00,MAX,0.227678,LH,True,6.81,-5.39,6,3,MINOR,T(-)C(-)W(-),HH_TO_LH
