ticker,archetype,direction,alarm_lead,alarm_feature,ramp_slope,max_pre_density,explosion_density,explosion_energy,confirmation_decay,n_active_at_t0,price
AAPL,UNKNOWN,BOTTOM,1.0,current_slope,-0.3455,13,9,77.29,-1.0,9,0.2455350011587143
AAPL,LL,BOTTOM,1.0,vwap_spread_current_wave,-0.2121,12,10,81.01,-0.6,10,0.23660700023174286
AAPL,HL,BOTTOM,1.0,vwap_spread_current_wave,-0.0424,10,8,70.35,-0.8,8,0.24441899359226227
AAPL,LH,TOP,1.0,vwap_spread_current_wave,-0.1152,10,6,57.05,0.4,6,0.2533479928970337
AAPL,HH,TOP,1.0,vwap_spread_current_wave,-0.2242,10,6,56.22,0.6,6,0.2544640004634857
AAPL,LH,TOP,1.0,vwap_spread_current_wave,-0.3515,10,6,55.44,0.9,6,0.2455350011587143
AAPL,LL,BOTTOM,1.0,current_slope,-0.2667,8,6,33.48,-0.5,6,0.22544600069522858
AAPL,LL,BOTTOM,1.0,d_tide_slope,-0.2303,8,7,38.99,-0.2,7,0.21651799976825714
AAPL,HL,BOTTOM,1.0,d_tide_slope,-0.1152,8,6,34.91,-0.2,6,0.21875
AAPL,LH,TOP,1.0,d_tide_slope,-0.1212,7,5,30.26,-0.0,5,0.21875
AAPL,HH,TOP,1.0,d_tide_slope,-0.1515,7,4,25.24,0.2,4,0.22767800092697144
AAPL,LH,TOP,1.0,vwap_spread_tide_current,-0.2242,7,4,25.6,0.3,4,0.22098200023174286
AAPL,LL,BOTTOM,1.0,vwap_spread_tide_current,0.3394,7,7,35.83,-0.6,7,0.20535700023174286
AAPL,LL,BOTTOM,1.0,vwap_spread_tide_current,0.3818,7,6,31.94,0.6,6,0.20200900733470917
AAPL,HH,TOP,1.0,kf_conjugation_pred_val,0.2121,7,7,45.02,-0.6,7,0.28125
AAPL,HH,TOP,1.0,kf_conjugation_pred_val,0.3091,7,8,56.74,-0.6,8,0.2924099862575531
AAPL,LH,TOP,1.0,d_current_slope,0.503,8,8,50.72,-0.4,8,0.282366007566452
AAPL,HL,BOTTOM,1.0,kf_conjugation_pred_val,0.3818,8,6,44.34,-0.0,6,0.27455300092697144
AAPL,LL,BOTTOM,1.0,kf_conjugation_pred_val,0.1212,8,6,43.65,0.6,6,0.2689729928970337
AAPL,HL,BOTTOM,1.0,kf_conjugation_pred_val,-0.1091,8,6,42.32,0.5,6,0.27455300092697144
AAPL,HH,TOP,1.0,conj_wave_tide,-0.2364,8,6,36.47,-1.0,6,0.2857140004634857
AAPL,HH,TOP,1.0,conj_wave_tide,-0.2545,8,9,53.73,-0.6,9,0.3035709857940674
AAPL,LH,TOP,1.0,conj_wave_tide,-0.0303,9,7,40.63,-0.5,7,0.29910698533058167
AAPL,LL,BOTTOM,1.0,conj_current_tide,0.0,3,6,33.27,-1.0,6,0.26785698533058167
AAPL,LL,BOTTOM,1.0,conj_current_tide,0.1636,6,8,48.3,-0.3,8,0.25223198533058167
AAPL,LH,TOP,1.0,conj_current_tide,0.3576,8,4,21.11,-0.2,4,0.26004400849342346
AAPL,HH,TOP,1.0,conj_current_tide,0.303,8,4,20.62,-0.2,4,0.265625
AAPL,LH,TOP,1.0,tide_slope,0.2364,8,3,16.12,-0.1,3,0.2622770071029663
AAPL,LL,BOTTOM,1.0,tide_slope,-0.297,8,2,10.27,-0.4,2,0.25
AAPL,LL,BOTTOM,1.0,tide_slope,-0.4848,8,3,16.23,-0.6,3,0.24330300092697144
AAPL,HH,TOP,1.0,tide_slope,-0.1152,3,1,5.77,0.1,1,0.28125
AAPL,HH,TOP,1.0,tide_slope,-0.1636,3,4,25.63,0.8,4,0.3013390004634857
AAPL,LH,TOP,1.0,kf_price_pred_val,-0.0242,4,1,5.64,-0.0,1,0.2924099862575531
AAPL,HL,BOTTOM,1.0,tide_slope,-0.0788,4,1,5.2,0.3,1,0.2622770071029663
AAPL,LL,BOTTOM,1.0,tide_slope,-0.2121,4,1,5.17,0.1,1,0.2611599862575531
AAPL,HL,BOTTOM,1.0,tide_slope,-0.1455,4,1,5.13,-0.7,1,0.266741007566452
AAPL,HH,TOP,1.0,kf_price_filt_vel,-0.1091,4,4,30.78,-0.2,4,0.3125
AAPL,LH,TOP,1.0,kf_price_pred_val,-0.0,4,1,4.95,-0.4,1,0.30245500802993774
AAPL,HL,BOTTOM,1.0,tide_slope,0.0606,4,1,4.72,0.6,1,0.2924099862575531
AAPL,HL,BOTTOM,1.0,tide_slope,-0.0364,4,1,4.66,0.3,1,0.296875
AAPL,HH,TOP,5.0,d_tide_slope,0.0121,2,2,8.34,0.0,2,0.3404009938240051
AAPL,LH,TOP,1.0,d_tide_slope,0.097,2,0,0.0,0.2,0,0.3359369933605194
AAPL,LL,BOTTOM,1.0,d_current_slope,0.5455,5,3,19.64,-0.2,3,0.25892800092697144
AAPL,LL,BOTTOM,1.0,kf_rsi_pred_val,0.5636,5,3,21.08,0.2,3,0.25223198533058167
AAPL,HL,BOTTOM,1.0,kf_rsi_pred_val,0.5455,5,2,11.64,0.4,2,0.264508992433548
AAPL,LH,TOP,1.0,d_tide_slope,-0.2242,5,2,15.98,-0.4,2,0.2700890004634857
AAPL,HH,TOP,1.0,d_tide_slope,-0.0606,3,5,42.47,-0.0,5,0.29464301466941833
AAPL,LH,TOP,1.0,d_tide_slope,0.1697,5,2,19.5,-0.2,2,0.2935259938240051
AAPL,LL,BOTTOM,1.0,d_tide_slope,-0.0788,5,2,16.38,-0.6,2,0.26339301466941833
AAPL,LL,BOTTOM,1.0,d_tide_slope,-0.1394,5,2,14.56,-0.9,2,0.2622770071029663
AAPL,HL,BOTTOM,1.0,d_tide_slope,-0.2,5,2,11.15,-1.0,2,0.2734369933605194
AAPL,LH,TOP,1.0,d_tide_slope,-0.0606,4,5,27.38,0.0,5,0.28683000802993774
AAPL,LH,TOP,1.0,kf_price_pred_val,0.0788,5,0,0.0,0.0,0,0.2773430049419403
AAPL,LL,BOTTOM,,,0.0,0,0,0.0,0.0,0,0.2455350011587143
AAPL,LL,BOTTOM,,,0.0,0,0,0.0,0.0,0,0.23325900733470917
AAPL,HL,BOTTOM,,,0.0,0,0,0.0,0.0,0,0.24107100069522858
AAPL,LH,TOP,,,0.0,0,0,0.0,0.0,0,0.2416290044784546
AAPL,HH,TOP,,,0.0,0,0,0.0,0.0,0,0.24832600355148315
AAPL,LH,TOP,,,0.0,0,0,0.0,0.0,0,0.23549099266529083
AAPL,LL,BOTTOM,,,0.0,0,0,0.0,0.0,0,0.234375
AAPL,LL,BOTTOM,,,0.0,0,0,0.0,0.0,0,0.22432999312877655
AAPL,HL,BOTTOM,,,0.0,0,0,0.0,0.0,0,0.2286510020494461
AAPL,HH,TOP,,,0.0,0,0,0.0,-0.2,0,0.2533479928970337
AAPL,HH,TOP,,,0.0,0,1,4.91,0.0,1,0.2650670111179352
AAPL,LH,TOP,1.0,kf_price_pred_val,0.0545,1,0,0.0,0.0,0,0.25558000802993774
AAPL,HL,BOTTOM,4.0,kf_price_pred_val,0.0182,1,0,0.0,0.1,0,0.24720999598503113
AAPL,LL,BOTTOM,5.0,kf_price_pred_val,0.0061,1,0,0.0,-0.3,0,0.2377229928970337
AAPL,HL,BOTTOM,6.0,kf_price_pred_val,-0.0061,1,0,0.0,-0.7,0,0.25
AAPL,HH,TOP,,,0.0,0,0,0.0,0.0,0,0.32142800092697144
AAPL,HH,TOP,,,0.0,0,0,0.0,0.0,0,0.3247759938240051
