station,n,mu_real,sigma_real,med_real,sigma_mad,sigma_iqr,inflation_ratio,skew,kurt_excess,shapiro_p,alpha_hill,pct_bin0_lake,pct_bin5_lake,param_mu_dict,param_sig_dict,param_thresh_3s_upper,emp_p99865,robust_thresh_3s_upper,robust_thresh_4s_upper,param_ovf_upper_n,param_ovf_upper_pct,emp_ovf_upper_n,emp_ovf_upper_pct,mult_upper,robust_ovf_upper_3s_n,robust_ovf_upper_4s_n,param_ovf_total_n,emp_ovf_total_n,robust_ovf_total_3s_n,robust_ovf_total_4s_n
vix,8450,19.5032,7.9419,17.63,6.3455,6.6864,1.25,2.2,8.45,4.19e-58,4.36,2.93,5.12,19.4419,7.73,42.6319,69.9559,36.6666,43.0121,156,1.846,12,0.142,13.0,286,148,156,24,286,148
vvix,5118,93.3386,16.464,90.8,13.7882,14.3921,1.19,1.01,2.89,4.78e-39,10.09,0.11,2.45,93.4701,16.3885,142.6356,173.69,132.1645,145.9527,54,1.055,7,0.137,7.7,114,46,63,11,123,49
pcr,4988,0.9445,0.1746,0.92,0.1334,0.1357,1.31,3.19,28.18,1.74e-58,8.52,1.36,0.65,0.9445,0.1747,1.4686,2.6384,1.3203,1.4537,35,0.702,7,0.14,5.0,103,39,35,14,103,39
fg,3911,48.81,21.0333,50.32,23.2472,23.7213,0.9,-0.18,-0.76,4.84e-21,15.53,0.54,0.98,48.8497,21.0618,112.0351,93.7215,120.0615,143.3087,0,0.0,6,0.153,0.0,0,0,0,10,0,0
sv5_turbulence,6937,7.0528,3.9263,5.977,3.061,3.3854,1.28,1.38,2.02,6.02e-52,5.66,0.78,5.36,7.0381,3.9006,18.7399,23.7506,15.16,18.2209,112,1.615,10,0.144,11.2,332,128,112,20,332,128
skew,8448,123.8574,11.803,120.46,8.9994,10.3632,1.31,1.23,1.31,3.71e-49,21.83,1.06,12.73,132.1308,11.9337,167.9319,172.1555,147.4581,156.4575,29,0.343,12,0.142,2.4,441,128,29,24,441,128
credit,4869,0.6243,0.0504,0.6205,0.0397,0.0398,1.27,0.27,0.37,2.30e-31,107.54,0.6,11.38,0.6241,0.0502,0.7747,0.7467,0.7397,0.7794,0,0.0,7,0.144,0.0,31,0,18,14,90,5
yield_curve,8446,1.4475,1.2059,1.4655,1.3803,1.3914,0.87,-0.14,-0.68,9.62e-24,39.22,9.16,2.82,1.3942,1.2675,5.1967,3.7776,5.6064,6.9867,0,0.0,12,0.142,0.0,0,0,0,24,0,0
rotation,6957,0.5305,2.4006,0.7228,2.7162,2.7394,0.88,-0.25,-0.42,5.63e-21,17.01,2.32,1.86,0.5301,2.4011,7.7334,6.8365,8.8715,11.5877,1,0.014,10,0.144,0.1,0,0,11,20,4,0
dxy,8444,92.9776,10.3188,93.768,10.7815,11.1171,0.96,0.22,-0.43,6.64e-23,27.57,4.9,6.08,97.4445,14.0207,139.5066,119.5042,126.1124,136.8939,0,0.0,12,0.142,0.0,0,0,0,24,0,0
bsi,8446,56.9267,20.8345,60.0,21.7942,22.2387,0.96,-0.53,-0.4,5.30e-32,23.47,3.73,4.2,56.6184,20.7608,118.9008,96.0397,125.3827,147.1769,0,0.0,12,0.142,0.0,0,0,0,23,0,0
