station,dim,n,mu,sigma,med,sigma_mad,sigma_iqr,ratio_sig_mad,skew,kurt_excess,alpha_upper,alpha_lower,p_mu_dict,p_sig_dict,p_thresh_3s_up,p_thresh_3s_lo,emp_p0135,emp_p99865,emp_p0228,emp_p9772,ovf_param_up,ovf_param_lo,ovf_param_tot,ovf_emp_up,ovf_emp_lo,ovf_emp_tot,ovf_mad_up_3s,ovf_mad_lo_3s,ovf_mad_tot_3s,ovf_mad_up_4s,ovf_mad_lo_4s,ovf_mad_tot_4s,ovf_mad_up_5s,ovf_mad_lo_5s,ovf_mad_tot_5s,z_mad_at_p99865,z_mad_at_p0135
vix,d1,8450,19.503156725755932,7.941887439432115,17.63,6.345528000000002,6.686434395848778,1.2515723576402331,2.195894340382792,8.44813417648033,4.35937761018053,2.0653571633821017,19.4419,7.73,42.6319,-3.748100000000001,9.438123,69.95593256149999,10.692147499999999,40.733557499999975,156,0,156,12,12,24,286,0,286,148,0,148,78,0,78,8.246111680777389,-1.2909685372123483
vix,d2,8445,0.0010550620359665798,2.639423725018242,-0.09999999999999964,1.5863819999999977,1.5789473684210533,1.6638008531477575,1.2188695343672593,15.136424962737983,2.2565596770516274,2.5154973992468928,-0.0012,2.5911,7.7721,-7.7745,-13.880929999999998,18.01690599999964,-4.990000000000002,5.48,90,64,154,12,12,24,283,213,496,142,108,250,89,57,146,11.42026699748211,-8.68701863737739
vix,d3,8453,0.5416367271976527,0.45891176383767884,0.4217033531247428,0.40146876202396997,0.44321081627902087,1.1430821205717598,1.2240305714555955,1.3041340424994745,5.473574698167752,55.0414551951115,0.5399,0.4583,1.9148,-0.835,0.0,2.3433328357604934,0.01561894747603101,1.7445975090929988,115,0,115,12,0,12,276,0,276,79,0,79,7,0,7,4.786498139850339,-1.0504014085647957
vvix,d1,5118,93.33859515435717,16.464033643983033,90.8,13.788179999999995,14.392142327650117,1.1940686619976704,1.009176147593023,2.8937059460155403,10.087420365871518,0.7141683045838574,93.4701,16.3885,142.6356,44.3046,37.35,173.69004099999714,67.41,131.50411999999997,54,9,63,7,4,11,114,9,123,46,3,49,18,1,19,6.011673839476796,-3.876508719787529
vvix,d2,5098,0.014890153001176935,8.692054444979735,-0.4100000000000037,6.197267999999999,6.239807264640475,1.402562297609162,0.8470368512588896,7.633366115953018,2.289317074555178,2.842401735132881,0.0295,8.7782,26.3641,-26.305100000000003,-38.654048499999995,49.62428599999992,-17.042162500000007,19.10259499999999,53,28,81,7,7,14,129,82,211,63,36,99,38,13,51,8.073603723447158,-6.1711141909628555
vvix,d3,8453,0.715833661532556,0.4212623187427868,0.944952847459198,0.34512981380165303,0.504019000145805,1.2205909252015166,0.10076507994708506,-0.07859041111275822,4.33269816820924,35.15160845479416,0.5268,0.4535,1.8873000000000002,-0.8337,0.0,2.354190432461591,0.022779404294013147,1.5415371105049838,70,0,70,12,0,12,55,0,55,15,0,15,0,0,0,4.0832102259710465,-2.7379635420377353
pcr,d1,4988,0.9445102862870891,0.1746143783519865,0.92,0.1334340000000001,0.13565604151223132,1.308619829668498,3.1923895914419176,28.180345501242808,8.51810505398175,23.84085223109064,0.9445,0.1747,1.4686,0.4204,0.6019298,2.6383774999999785,0.69111946775,1.3113198094999996,35,0,35,7,7,14,103,0,103,39,0,39,20,0,20,12.87810827824975,-2.38372678627636
pcr,d2,4985,1.54663991975927e-05,0.1765182462822081,-0.0008240000000000469,0.14058606240000002,0.13953521126760554,1.2555885218548384,-0.2711919722986789,19.696469068304033,3.4505579084718,3.21999894746025,0.0,0.1765,0.5295,-0.5295,-0.6254935999999999,0.6879151328000003,-0.34522800000000003,0.3474224319999997,17,18,35,7,7,14,51,60,111,15,12,27,5,6,11,4.899056997843623,-4.44332524388278
pcr,d3,8453,0.8437030603983913,0.43729743599621795,1.0,0.24238065572988102,0.36373037150069065,1.8041763055693694,0.22785407967159022,0.6208113156150703,6.181926719481665,19.33986711701473,0.7357,0.5432,2.3653,-0.8938999999999999,0.0,2.428662975428634,0.0420679712905235,1.8697887704091003,16,0,16,12,0,12,295,1147,1442,139,146,285,45,0,45,5.894294539003124,-4.12574178821614
fg,d1,3911,48.80999117677557,21.03334435234778,50.32000000000001,23.247167999999988,23.721275018532246,0.9047701789890188,-0.17835822854758326,-0.76080148292594,15.345763961051496,0.6714915724298492,48.8497,21.0618,112.0351,-14.335700000000003,2.0,93.72149999999965,8.0,87.0,0,0,0,6,4,10,0,0,0,0,0,0,0,0,0,1.866958590396889,-2.0785327485911416
